"cg","con","Concept.1","Concept.2","LIN","LCH","INTRINSIC_LCH","INTRINSIC_LIN","PATH","INTRINSIC_PATH","WUPALMER","lcs.s.","corpus.lcs","intrinsic.lcs","paths"
"msh","MiniMayoSRS_mesh","D000900","D006967",0,0.410315,0.307842,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D000900->D000890->D045506->D020228->D020164->*C0000000*<-D006967<-D007154"
"msh","MiniMayoSRS_mesh","D011655","D009203",0.615734,0.491896,0.452766,0.673659,0.166667,0.08208,0.545455,"D014652","D014652","D014652","D014652=D011655->D004617->D016769->*D014652*<-D009203<-D017202"
"msh","MiniMayoSRS_mesh","D002349","D010003",0,0.410315,0.217047,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D002349->D012090->D013180->D014947->*C0000000*<-D010003<-D012216<-D009140"
"msh","MiniMayoSRS_mesh","D001172","D008180",0.799343,0.688457,0.522666,0.768726,0.333333,0.11296,0.75,"D001327","D001327","D001327","D001327=D001172->*D001327*<-D008180"
"msh","MiniMayoSRS_mesh","D000152","D013594",0,0.448182,0.213961,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D000152->D012625->D012871->D017437->*C0000000*<-D013594<-D004864"
"msh","MiniMayoSRS_mesh","D003920","D006973",0,0.491896,0.242815,0,0.166667,0,0.285714,"C0000000","C0000000","C0000000","C0000000=D003920->D004700->*C0000000*<-D006973<-D014652<-D002318"
"msh","MiniMayoSRS_mesh","D003348","D019645",0,0.347036,0.218013,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D003348->D000893->D045506->D020228->D020164->*C0000000*<-D019645<-D019643<-D019919<-D013514"
"msh","MiniMayoSRS_mesh","D018281","D003113",0,0.295334,0.214659,0,0.083333,0,0.153846,"C0000000","C0000000","C0000000","C0000000=D018281->D000230->D002277->D009375->D009370->D009369->*C0000000*<-D003113<-D016099<-D016145<-D013505<-D013514"
"msh","MiniMayoSRS_mesh","D019310","D007822",0,0.448182,0.213556,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D019310->D008206->D006425->*C0000000*<-D007822<-D007818<-D010038"
"msh","MiniMayoSRS_mesh","D001064","D010024",0,0.376914,0.223114,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D001064->D059413->D007239->D001423->*C0000000*<-D010024<-D001851<-D001847<-D009140"
"msh","MiniMayoSRS_mesh","D003866","D002481",0,0.448182,0.221323,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D003866->D019964->D001523->*C0000000*<-D002481<-D003240<-D017437"
"msh","MiniMayoSRS_mesh","D006949","D009369",0,0.448182,0.279697,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D006949->D050171->D052439->D008659->D009750->*C0000000*<-D009369"
"msh","MiniMayoSRS_mesh","D009103","D011618",0,0.410315,0.219848,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D009103->D020278->D003711->D009422->*C0000000*<-D011618<-D019967<-D001523"
"msh","MiniMayoSRS_mesh","D010437","D009216",0,0.448182,0.232166,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D010437->D005767->D004066->*C0000000*<-D009216<-D012030<-D005128"
"msh","MiniMayoSRS_mesh","D003111","D001011",0,0.347036,0.21691,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D003111->D007417->D011127->D020763->D013568->*C0000000*<-D001011<-D001158<-D001808<-D002319"
"msh","MiniMayoSRS_mesh","D014648","D007717",0,0.410315,0.216341,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D014648->D014652->D002318->*C0000000*<-D007717<-D035002<-D005121<-D001829"
"msh","MiniMayoSRS_mesh","D014987","D008104",0,0.376914,0.214386,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D014987->D012466->D009059->D009057->*C0000000*<-D008104<-D008108<-D008107<-D004066"
"msh","MayoSRS_mesh","D003920","D011127",0,0.491896,0.232708,0,0.166667,0,0.285714,"C0000000","C0000000","C0000000","C0000000=D003920->D004700->*C0000000*<-D011127<-D020763<-D013568"
"msh","MayoSRS_mesh","D006975","D009508",0,0.376914,0.223254,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D006975->D008107->D004066->*C0000000*<-D009508<-D009506<-D018326<-D009370<-D009369"
"msh","MayoSRS_mesh","D006333","D006975",0,0.448182,0.223597,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D006333->D006331->D002318->*C0000000*<-D006975<-D008107<-D004066"
"msh","MayoSRS_mesh","D007669","D014517",0.6076,0.491896,0.466744,0.703414,0.166667,0.087492,0.615385,"D014570","D014570","D014570","D014570=D007669->D053040->D007674->*D014570*<-D014517<-D014515"
"msh","MayoSRS_mesh","D001416","D013130",0,0.376914,0.213591,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D001416->D010146->D009461->D009422->*C0000000*<-D013130<-D013122<-D001847<-D009140"
"msh","MayoSRS_mesh","D001172","D012218",0.783952,0.803438,0.856531,0.97319,0.5,0.519211,0.909091,"D001172","D001172","D001172","D001172=D001172*<-D012218"
"msh","MayoSRS_mesh","D007114","D007153",0,0.491896,0.243946,0,0.166667,0,0.285714,"C0000000","C0000000","C0000000","C0000000=D007114->D007158->D008919->*C0000000*<-D007153<-D007154"
"msh","MayoSRS_mesh","D009135","D003882",0.836279,0.688457,0.606483,0.833109,0.333333,0.165663,0.8,"D009135","D009135","D009135","D009135=D009135*<-D003882<-D009220"
"msh","MayoSRS_mesh","D019161","D006949",0,0.320008,0.231833,0,0.090909,0,0.166667,"C0000000","C0000000","C0000000","C0000000=D019161->D004791->D045504->D020228->D020164->*C0000000*<-D006949<-D050171<-D052439<-D008659<-D009750"
"msh","MayoSRS_mesh","D004417","D059246",0,0.688457,0.611394,0.860249,0.333333,0.169422,0.8,"D012818|D012120","D012818","D012818","D012818=D004417->*D012818*<-D059246|D012120=D004417->*D012120*<-D059246"
"msh","MayoSRS_mesh","D011655","D006469",0.600345,0.688457,0.477507,0.718831,0.333333,0.091902,0.75,"D008171","D008171","D008171","D008171=D011655->*D008171*<-D006469"
"msh","MayoSRS_mesh","D061028","D005356",0,0.491896,0.212801,0,0.166667,0,0.285714,"C0000000","C0000000","C0000000","C0000000=D061028->D001829->*C0000000*<-D005356<-D012216<-D009140"
"msh","MayoSRS_mesh","D020521","D010291",0.459182,0.448182,0.355143,0.473439,0.142857,0.052546,0.4,"D009422","D009422","D009422","D009422=D020521->D002561->D001927->D002493->*D009422*<-D010291<-D009461"
"msh","MayoSRS_mesh","D003679","D010528",0.690916,0.606877,0.647713,0.887213,0.25,0.2,0.727273,"D052799","D052799","D052799","D052799=D003679->*D052799*<-D010528<-D005769"
"msh","MayoSRS_mesh","D009362","D002277",0.590896,0.491896,0.44552,0.622166,0.166667,0.079407,0.444444,"D009369","D009369","D009369","D009369=D009362->D009385->*D009369*<-D002277<-D009375<-D009370"
"msh","MayoSRS_mesh","D013700","D006261",0.432185,0.448182,0.343139,0.459056,0.142857,0.049742,0.4,"D009422","D009422","D009422","D009422=D013700->D020293->D020274->*D009422*<-D006261<-D010146<-D009461"
"msh","MayoSRS_mesh","D011928","D007511",0,0.410315,0.220517,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D011928->D016491->D014652->D002318->*C0000000*<-D007511<-D010335<-D013568"
"msh","MayoSRS_mesh","D012594","D012595",0.629507,0.688457,0.469269,0.693652,0.333333,0.088507,0.75,"D012871|D003240","D003240","D003240","D012871=D012594->*D012871*<-D012595|D003240=D012594->*D003240*<-D012595"
"msh","MayoSRS_mesh","D007079","D003424",0.712011,0.543598,0.595279,0.847492,0.2,0.157396,0.666667,"D005759|D007410","D005759","D005759","D005759=D007079->D004751->*D005759*<-D003424<-D015212|D007410=D007079->D004751->*D007410*<-D003424<-D015212"
"msh","MayoSRS_mesh","D003967","D003092",0,0.376914,0.224185,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D003967->D012817->D012816->D013568->*C0000000*<-D003092<-D005759<-D005767<-D004066"
"msh","MayoSRS_mesh","D004415","D010437",0,0.410315,0.218888,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D004415->D012817->D012816->D013568->*C0000000*<-D010437<-D005767<-D004066"
"msh","MayoSRS_mesh","D003221","D003702",0.425151,0.491896,0.372069,0.529263,0.166667,0.056771,0.444444,"D001520","D001520","D001520","D001520=D003221->D019954->*D001520*<-D003702<-D001526<-D001519"
"msh","MayoSRS_mesh","D006212","D011618",0,0.410315,0.217702,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D006212->D010468->D019954->D001520->*C0000000*<-D011618<-D019967<-D001523"
"msh","MayoSRS_mesh","D013280","D019226",0.620418,0.688457,0.468814,0.699025,0.333333,0.088324,0.75,"D009059","D009059","D009059","D009059=D013280->*D009059*<-D019226"
"msh","MayoSRS_mesh","D011655","D011014",0.688146,0.688457,0.511966,0.752782,0.333333,0.107571,0.75,"D008171","D008171","D008171","D008171=D011655->*D008171*<-D011014"
"msh","MayoSRS_mesh","D001172","D001182",0,0.448182,0.21928,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D001172->D012216->D009140->*C0000000*<-D001182<-D019637<-D013514"
"msh","MayoSRS_mesh","D007267","D006833",0,0.410315,0.224679,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D007267->D004333->D004358->D013812->*C0000000*<-D006833<-D007592<-D009140"
"msh","MayoSRS_mesh","D014605","D015796",0,0.320008,0.231294,0,0.090909,0,0.166667,"C0000000","C0000000","C0000000","C0000000=D014605->D014603->D005128->*C0000000*<-D015796<-D015235<-D006680<-D006649<-D007519<-D000941<-D001685"
"msh","MayoSRS_mesh","D014657","D013927",0.658349,0.606877,0.527138,0.750523,0.25,0.115291,0.666667,"D014652","D014652","D014652","D014652=D014657->*D014652*<-D013927<-D016769"
"msh","MayoSRS_mesh","D018805","D007022",0,0.448182,0.222858,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D018805->D007239->D001423->*C0000000*<-D007022<-D014652<-D002318"
"msh","MayoSRS_mesh","D005774","D044342",0,0.448182,0.231884,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D005774->D010030->D013514->*C0000000*<-D044342<-D009748<-D009750"
"msh","MayoSRS_mesh","D004487","D005919",0,0.448182,0.219939,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D004487->D012816->D013568->*C0000000*<-D005919<-D014553<-D012101"
"msh","MayoSRS_mesh","D003113","D011127",0,0.376914,0.217047,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D003113->D016099->D016145->D013505->D013514->*C0000000*<-D011127<-D020763<-D013568"
"msh","MayoSRS_mesh","D001024","D002113",0,0.376914,0.220113,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D001024->D006349->D006331->D002318->*C0000000*<-D002113<-D048788<-D055705<-D010829"
"msh","MayoSRS_mesh","D008288","D000562",0.798393,0.688457,0.58689,0.829405,0.333333,0.151478,0.75,"D011528","D011528","D011528","D011528=D008288->*D011528*<-D000562"
"msh","MayoSRS_mesh","D012640","D006261",0.631668,0.606877,0.431479,0.631888,0.25,0.074473,0.727273,"D009461","D009461","D009461","D009461=D012640->*D009461*<-D006261<-D010146"
"msh","MayoSRS_mesh","D012507","D014807",0,0.376914,0.245379,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D012507->D008232->D008206->D006425->*C0000000*<-D014807<-D012632<-D013256<-D011083"
"msh","MayoSRS_mesh","D007871","D014648",0,0.410315,0.217702,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D007871->D012883->D012871->D017437->*C0000000*<-D014648<-D014652<-D002318"
"msh","MayoSRS_mesh","D015434","D008067",0,0.376914,0.222528,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D015434->D012871->D017437->*C0000000*<-D008067<-D018205<-D018204<-D009370<-D009369"
"msh","MayoSRS_mesh","D001145","D008943",0,0.410315,0.230774,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D001145->D006331->D002318->*C0000000*<-D008943<-D006351<-D006321<-D002319"
"msh","MayoSRS_mesh","D004408","D003679",0,0.347036,0.212801,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D004408->D013651->D012678->D009461->D009422->*C0000000*<-D003679<-D052799<-D004068<-D055688"
"msh","MayoSRS_mesh","D010406","D006967",0,0.448182,0.261588,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D010406->D047090->D013457->D009930->*C0000000*<-D006967<-D007154"
"msh","MayoSRS_mesh","D007938","D013234",0,0.491896,0.253767,0,0.166667,0,0.285714,"C0000000","C0000000","C0000000","C0000000=D007938->D009370->D009369->*C0000000*<-D013234<-D002477"
"msh","MayoSRS_mesh","D011471","D000135",0,0.320008,0.22792,0,0.090909,0,0.166667,"C0000000","C0000000","C0000000","C0000000=D011471->D005834->D014565->D052801->*C0000000*<-D000135<-D010744<-D004950<-D006867<-D004798<-D045762"
"msh","MayoSRS_mesh","D012964","D008279",0,0.376914,0.227203,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D012964->D008672->D008670->D007287->*C0000000*<-D008279<-D003952<-D019937<-D003933"
"msh","MayoSRS_mesh","D011516","D013594",0,0.491896,0.227605,0,0.166667,0,0.285714,"C0000000","C0000000","C0000000","C0000000=D011516->D001779->D001685->*C0000000*<-D013594<-D004864"
"msh","MayoSRS_mesh","D009101","D003866",0,0.410315,0.220451,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D009101->D020141->D014652->D002318->*C0000000*<-D003866<-D019964<-D001523"
"msh","MayoSRS_mesh","D003920","D012218",0,0.448182,0.228896,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D003920->D004700->*C0000000*<-D012218<-D001172<-D012216<-D009140"
"msh","MayoSRS_mesh","D014135","D003110",0,0.347036,0.219224,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D014135->D014133->D012140->*C0000000*<-D003110<-D015179<-D012002<-D007410<-D005767<-D004066"
"msh","MayoSRS_mesh","D006333","D011618",0,0.448182,0.225004,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D006333->D006331->D002318->*C0000000*<-D011618<-D019967<-D001523"
"msh","MayoSRS_mesh","D008946","D010437",0,0.410315,0.218888,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D008946->D006349->D006331->D002318->*C0000000*<-D010437<-D005767<-D004066"
"msh","MayoSRS_mesh","D012128","D002481",0,0.448182,0.21414,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D012128->D012120->D012140->*C0000000*<-D002481<-D003240<-D017437"
"msh","MayoSRS_mesh","D019693","D007752",0,0.410315,0.214386,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D019693->D001327->D007154->*C0000000*<-D007752<-D007744<-D011248<-D005261"
"msh","MayoSRS_mesh","D002532","D011655",0.555583,0.491896,0.439911,0.659477,0.166667,0.077398,0.545455,"D014652","D014652","D014652","D014652=D002532->D000783->*D014652*<-D011655<-D004617<-D016769"
"msh","MayoSRS_mesh","D055752","D003924",0,0.376914,0.215912,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D055752->D002283->D008175->D012142->D012140->*C0000000*<-D003924<-D003920<-D004700"
"msh","MayoSRS_mesh","D006396","D014987",0,0.376914,0.214386,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D006396->D006471->D005767->D004066->*C0000000*<-D014987<-D012466<-D009059<-D009057"
"msh","MayoSRS_mesh","D003320","D003668",0,0.410315,0.213824,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D003320->D015817->D005128->*C0000000*<-D003668<-D012883<-D012871<-D017437"
"msh","MayoSRS_mesh","D029424","D006209",0,0.376914,0.214386,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D029424->D008173->D008171->D012140->*C0000000*<-D006209<-D012817<-D012816<-D013568"
"msh","MayoSRS_mesh","D010003","D053040",0,0.410315,0.219026,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D010003->D012216->D009140->*C0000000*<-D053040<-D007674<-D014570<-D052801"
"msh","MayoSRS_mesh","D011658","D001064",0,0.410315,0.214742,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D011658->D008171->D012140->*C0000000*<-D001064<-D059413<-D007239<-D001423"
"msh","MayoSRS_mesh","D004890","D010024",0,0.410315,0.235454,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D004890->D012871->D017437->*C0000000*<-D010024<-D001851<-D001847<-D009140"
"msh","UMNSRS_similarity_mesh","D002220","D010672",0.761611,0.688457,0.515392,0.751369,0.333333,0.109268,0.857143,"D000927","D000927","D000927","D000927=D002220->*D000927*<-D010672"
"msh","UMNSRS_similarity_mesh","D009202","D000082",0,0.376914,0.25158,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D009202->D006331->D002318->*C0000000*<-D000082<-D058633<-D045505<-D020228<-D020164"
"msh","UMNSRS_similarity_mesh","D009041","D009325",0.478528,0.606877,0.389795,0.559626,0.25,0.06156,0.666667,"D012816","D012816","D012816","D012816=D009041->*D012816*<-D009325<-D012817"
"msh","UMNSRS_similarity_mesh","D003047","D006660",0.686547,0.688457,0.532238,0.789259,0.333333,0.118009,0.75,"D009181","D009181","D009181","D009181=D003047->*D009181*<-D006660"
"msh","UMNSRS_similarity_mesh","D000787","C055162",0,0.347036,0.214044,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D000787->D017202->D014652->D002318->*C0000000*<-C055162<-D013988<-D058924<-D006574<-D006571"
"msh","UMNSRS_similarity_mesh","D017294","D007486",0.534311,0.543598,0.384537,0.557859,0.2,0.060098,0.75,"D005765|D001337|D002491","D005765","D001337","D001337=D017294->D000932->*D001337*<-D007486<-D004639|D002491=D017294->D000932->*D002491*<-D007486<-D004639|D005765=D017294->D000932->*D005765*<-D007486<-D004639"
"msh","UMNSRS_similarity_mesh","D012640","D007328",0,0.376914,0.247687,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D012640->D009461->D009422->*C0000000*<-D007328<-D007004<-D045505<-D020228<-D020164"
"msh","UMNSRS_similarity_mesh","D018805","D004417",0,0.448182,0.219028,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D018805->D007239->D001423->*C0000000*<-D004417<-D012120<-D012140"
"msh","UMNSRS_similarity_mesh","D009041","D000431",0,0.448182,0.254097,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D009041->D012816->D013568->*C0000000*<-D000431<-D000438<-D009930"
"msh","UMNSRS_similarity_mesh","D004433","D012001",0.579177,0.606877,0.438817,0.662063,0.25,0.077012,0.666667,"D004427","D004427","D004427","D004427=D004433->*D004427*<-D012001<-D006311"
"msh","UMNSRS_similarity_mesh","D010930","D002792",0,0.295334,0.213077,0,0.083333,0,0.153846,"C0000000","C0000000","C0000000","C0000000=D010930->D015009->D004756->D016905->D001424->D001423->*C0000000*<-D002792<-D011137<-D010969<-D011108<-D046911"
"msh","UMNSRS_similarity_mesh","D000212","C060590",0.548928,0.410315,0.36303,0.4756,0.125,0.054474,0.533333,"D011687","D011687","D011687","D011687=D000212->D006147->D007042->D011688->*D011687*<-C060590<-D015075<-D000225"
"msh","UMNSRS_similarity_mesh","D012640","D000431",0,0.448182,0.261862,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D012640->D009461->D009422->*C0000000*<-D000431<-D000438<-D009930"
"msh","UMNSRS_similarity_mesh","D018512","D008288",0.65862,0.606877,0.466453,0.695444,0.25,0.087376,0.571429,"D010272","D010272","D010272","D010272=D018512->*D010272*<-D008288<-D011528"
"msh","UMNSRS_similarity_mesh","D005759","D004205",0,0.376914,0.234262,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D005759->D005767->D004066->*C0000000*<-D004205<-D002867<-D001578<-D011714<-D006571"
"msh","UMNSRS_similarity_mesh","D007019","D006815",0,0.410315,0.215085,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D007019->D001796->D006402->D006425->*C0000000*<-D006815<-D004068<-D055688"
"msh","UMNSRS_similarity_mesh","C079890","C057823",0.452103,0.410315,0.383315,0.556394,0.125,0.059764,0.631579,"D001337","D001337","D001337","D001337=C079890->D012602->D012601->D009184->*D001337*<-C057823<-D000420<-D001993"
"msh","UMNSRS_similarity_mesh","D007662","D005492",0,0.347036,0.237217,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D007662->D000138->D000137->D008659->D009750->*C0000000*<-D005492<-D011622<-D010860<-D001685"
"msh","UMNSRS_similarity_mesh","D007328","D005934",0.782458,0.543598,0.461567,0.641599,0.2,0.085447,0.666667,"D011498","D011498","D011498","D011498=D007328->D011384->*D011498*<-D005934<-D052336"
"msh","UMNSRS_similarity_mesh","D002386","D012135",0,0.448182,0.240317,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D002386->D007905->D005128->*C0000000*<-D012135<-D012143<-D002943"
"msh","UMNSRS_similarity_mesh","D008691","D014147",0.713992,0.688457,0.494712,0.737736,0.333333,0.099417,0.888889,"D009294|D000701","D009294","D009294","D000701=D008691->*D000701*<-D014147|D009294=D008691->*D009294*<-D014147"
"msh","UMNSRS_similarity_mesh","D010787","D001044",0,0.410315,0.223929,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D010787->D012871->D017437->*C0000000*<-D001044<-D014832<-D007818<-D010038"
"msh","UMNSRS_similarity_mesh","D011565","D008580",0,0.410315,0.215735,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D011565->D017444->D012871->D017437->*C0000000*<-D008580<-D009461<-D009422"
"msh","UMNSRS_similarity_mesh","D014770","D012798",0,0.410315,0.221742,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D014770->D012816->D013568->*C0000000*<-D012798<-D012466<-D009059<-D009057"
"msh","UMNSRS_similarity_mesh","D003128","D006505",0,0.376914,0.225971,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D003128->D014474->D003244->D019954->D001520->*C0000000*<-D006505<-D008107<-D004066"
"msh","UMNSRS_similarity_mesh","D007319","D011595",0.543599,0.448182,0.40901,0.605839,0.142857,0.067208,0.571429,"D009461","D009461","D009461","D009461=D007319->D020919->D020920->D012893->*D009461*<-D011595<-D020820"
"msh","UMNSRS_similarity_mesh","D011565","D001168",0,0.410315,0.235923,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D011565->D017444->D012871->D017437->*C0000000*<-D001168<-D007592<-D009140"
"msh","UMNSRS_similarity_mesh","D013923","D006469",0,0.410315,0.219602,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D013923->D016769->D014652->D002318->*C0000000*<-D006469<-D008171<-D012140"
"msh","UMNSRS_similarity_mesh","D011014","D002443",0,0.347036,0.222836,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D011014->D012141->D012140->*C0000000*<-D002443<-D000900<-D000890<-D045506<-D020228<-D020164"
"msh","UMNSRS_similarity_mesh","D017292","C041226",0.816075,0.688457,0.728604,0.930334,0.333333,0.289418,0.909091,"D011224","D011224","D011224","D011224=D017292->*D011224*<-C041226"
"msh","UMNSRS_similarity_mesh","D002386","D008687",0,0.376914,0.244634,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D002386->D007905->D005128->*C0000000*<-D008687<-D007004<-D045505<-D020228<-D020164"
"msh","UMNSRS_similarity_mesh","D012640","D002220",0,0.410315,0.227342,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D012640->D009461->D009422->*C0000000*<-D002220<-D003984<-D006575<-D006571"
"msh","UMNSRS_similarity_mesh","D002386","D007328",0,0.376914,0.266283,0,0.111111,0,0.2,"C0000000","C0000000","C0000000","C0000000=D002386->D007905->D005128->*C0000000*<-D007328<-D007004<-D045505<-D020228<-D020164"
"msh","UMNSRS_similarity_mesh","D000740","D045262",0,0.448182,0.236037,0,0.142857,0,0.25,"C0000000","C0000000","C0000000","C0000000=D000740->D006402->D006425->*C0000000*<-D045262<-D001790<-D002943"
"msh","UMNSRS_similarity_mesh","D010024","D011239",0,0.347036,0.249114,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D010024->D001851->D001847->D009140->*C0000000*<-D011239<-D000893<-D045506<-D020228<-D020164"
"msh","UMNSRS_similarity_mesh","D012640","D010672",0,0.347036,0.235616,0,0.1,0,0.181818,"C0000000","C0000000","C0000000","C0000000=D012640->D009461->D009422->*C0000000*<-D010672<-D000927<-D002491<-D045506<-D020228<-D020164"
"msh","UMNSRS_similarity_mesh","D050171","D005395",0,0.410315,0.259096,0,0.125,0,0.222222,"C0000000","C0000000","C0000000","C0000000=D050171->D052439->D008659->D009750->*C0000000*<-D005395<-D009821<-D008055"
