"cg","con","Concept.1","Concept.2","PAGERANK","lcs.s.","corpus.lcs","intrinsic.lcs","paths"
"msh","MayoSRS_mesh","D003920","D011127",0.004064,NA,NA,NA,NA
"msh","MayoSRS_mesh","D006975","D009508",0.003678,NA,NA,NA,NA
"msh","MayoSRS_mesh","D006333","D006975",0.002003,NA,NA,NA,NA
"msh","MayoSRS_mesh","D007669","D014517",0.066583,NA,NA,NA,NA
"msh","MayoSRS_mesh","D001416","D013130",0.001483,NA,NA,NA,NA
"msh","MayoSRS_mesh","D001172","D012218",0.85431,NA,NA,NA,NA
"msh","MayoSRS_mesh","D007114","D007153",1.1e-05,NA,NA,NA,NA
"msh","MayoSRS_mesh","D009135","D003882",0.070409,NA,NA,NA,NA
"msh","MayoSRS_mesh","D019161","D006949",4.2e-05,NA,NA,NA,NA
"msh","MayoSRS_mesh","D004417","D059246",0.400528,NA,NA,NA,NA
"msh","MayoSRS_mesh","D011655","D006469",0.11252,NA,NA,NA,NA
"msh","MayoSRS_mesh","D061028","D005356",0.002361,NA,NA,NA,NA
"msh","MayoSRS_mesh","D020521","D010291",0.004902,NA,NA,NA,NA
"msh","MayoSRS_mesh","D003679","D010528",0.312754,NA,NA,NA,NA
"msh","MayoSRS_mesh","D009362","D002277",0.001529,NA,NA,NA,NA
"msh","MayoSRS_mesh","D013700","D006261",0.002302,NA,NA,NA,NA
"msh","MayoSRS_mesh","D011928","D007511",0.022458,NA,NA,NA,NA
"msh","MayoSRS_mesh","D012594","D012595",0.262324,NA,NA,NA,NA
"msh","MayoSRS_mesh","D007079","D003424",0.068099,NA,NA,NA,NA
"msh","MayoSRS_mesh","D003967","D003092",0.001491,NA,NA,NA,NA
"msh","MayoSRS_mesh","D004415","D010437",0.002746,NA,NA,NA,NA
"msh","MayoSRS_mesh","D003221","D003702",0.052164,NA,NA,NA,NA
"msh","MayoSRS_mesh","D006212","D011618",0.001956,NA,NA,NA,NA
"msh","MayoSRS_mesh","D013280","D019226",0.2027,NA,NA,NA,NA
"msh","MayoSRS_mesh","D011655","D011014",0.054339,NA,NA,NA,NA
"msh","MayoSRS_mesh","D001172","D001182",1.1e-05,NA,NA,NA,NA
"msh","MayoSRS_mesh","D007267","D006833",7e-06,NA,NA,NA,NA
"msh","MayoSRS_mesh","D014605","D015796",0,NA,NA,NA,NA
"msh","MayoSRS_mesh","D014657","D013927",0.039694,NA,NA,NA,NA
"msh","MayoSRS_mesh","D018805","D007022",0.002276,NA,NA,NA,NA
"msh","MayoSRS_mesh","D005774","D044342",2e-06,NA,NA,NA,NA
"msh","MayoSRS_mesh","D004487","D005919",0.000208,NA,NA,NA,NA
"msh","MayoSRS_mesh","D003113","D011127",7e-06,NA,NA,NA,NA
"msh","MayoSRS_mesh","D001024","D002113",1e-04,NA,NA,NA,NA
"msh","MayoSRS_mesh","D008288","D000562",0.11682,NA,NA,NA,NA
"msh","MayoSRS_mesh","D012640","D006261",0.006979,NA,NA,NA,NA
"msh","MayoSRS_mesh","D012507","D014807",2e-06,NA,NA,NA,NA
"msh","MayoSRS_mesh","D007871","D014648",0.450439,NA,NA,NA,NA
"msh","MayoSRS_mesh","D015434","D008067",0.012252,NA,NA,NA,NA
"msh","MayoSRS_mesh","D001145","D008943",0.000635,NA,NA,NA,NA
"msh","MayoSRS_mesh","D004408","D003679",1.8e-05,NA,NA,NA,NA
"msh","MayoSRS_mesh","D010406","D006967",9e-06,NA,NA,NA,NA
"msh","MayoSRS_mesh","D007938","D013234",4.5e-05,NA,NA,NA,NA
"msh","MayoSRS_mesh","D011471","D000135",5e-06,NA,NA,NA,NA
"msh","MayoSRS_mesh","D012964","D008279",0,NA,NA,NA,NA
"msh","MayoSRS_mesh","D011516","D013594",4.4e-05,NA,NA,NA,NA
"msh","MayoSRS_mesh","D009101","D003866",0.000201,NA,NA,NA,NA
"msh","MayoSRS_mesh","D003920","D012218",0.004843,NA,NA,NA,NA
"msh","MayoSRS_mesh","D014135","D003110",0.002833,NA,NA,NA,NA
"msh","MayoSRS_mesh","D006333","D011618",0.000792,NA,NA,NA,NA
"msh","MayoSRS_mesh","D008946","D010437",0.001249,NA,NA,NA,NA
"msh","MayoSRS_mesh","D012128","D002481",0.006014,NA,NA,NA,NA
"msh","MayoSRS_mesh","D019693","D007752",0.001062,NA,NA,NA,NA
"msh","MayoSRS_mesh","D002532","D011655",0.009474,NA,NA,NA,NA
"msh","MayoSRS_mesh","D055752","D003924",0.000553,NA,NA,NA,NA
"msh","MayoSRS_mesh","D006396","D014987",0.00102,NA,NA,NA,NA
"msh","MayoSRS_mesh","D003320","D003668",0.026177,NA,NA,NA,NA
"msh","MayoSRS_mesh","D029424","D006209",0.000321,NA,NA,NA,NA
"msh","MayoSRS_mesh","D010003","D053040",0.003182,NA,NA,NA,NA
"msh","MayoSRS_mesh","D011658","D001064",0.002049,NA,NA,NA,NA
"msh","MayoSRS_mesh","D004890","D010024",0.014735,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002220","D010672",0.008764,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009202","D000082",2.4e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009041","D009325",0.034457,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003047","D006660",0.703957,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000787","C055162",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D017294","D007486",0.005929,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012640","D007328",2.2e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D018805","D004417",0.001571,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009041","D000431",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004433","D012001",0.107639,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010930","D002792",0,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000212","C060590",0.001043,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012640","D000431",5.3e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D018512","D008288",0.038438,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005759","D004205",4e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007019","D006815",0.000128,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","C079890","C057823",0.005767,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007662","D005492",2.6e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007328","D005934",0.007923,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002386","D012135",0.0011,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D008691","D014147",0.051049,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010787","D001044",0.002191,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011565","D008580",0.01015,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D014770","D012798",0.002762,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003128","D006505",0.000834,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007319","D011595",0.002588,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011565","D001168",0.174275,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D013923","D006469",0.00579,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011014","D002443",2e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D017292","C041226",0.354503,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002386","D008687",5e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012640","D002220",2.9e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002386","D007328",1.1e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000740","D045262",0.001212,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010024","D011239",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012640","D010672",3.8e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D050171","D005395",1.5e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002440","D002443",0.13855,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010406","D002437",0.026549,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006432","D000857",0.000815,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010167","D001241",7e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D050171","D002792",1.1e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010930","D008199",0.009723,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000438","D004221",0.002894,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003061","D009270",0.018793,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D014859","D001241",0.003953,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D014640","D005913",0.000273,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003048","D008581",0.006121,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010167","D014859",9.7e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000783","D010024",0.005537,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007511","D008790",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005414","D005934",4e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002437","D002506",0.104184,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010024","D013927",0.002459,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004660","D008581",0.154403,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001168","D018771",0.049387,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000858","D016190",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000418","D006493",0.003566,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011141","D007328",7e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012913","D012135",0.839641,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011565","C043211",7e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006484","D007246",0.008195,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004827","D010634",6e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004827","D000438",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011565","D013035",0.007495,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012913","D008139",0,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001161","D002792",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011014","D018805",0.02524,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006547","D003704",0.004856,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D018771","D010146",0.586505,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D013974","D008012",0.003743,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011014","D004417",0.014983,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009041","D009041",1,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D053159","C055162",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003078","D011239",0.002077,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006547","D002230",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D044343","D012640",0.018336,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002386","D010195",0.002036,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000431","D000438",0.063979,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006980","D012640",0.007797,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","C036604","D000638",0.005615,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007246","D016190",1e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D018771","D009437",0.151191,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000860","D015742",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004244","D001262",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010195","D007328",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005759","D007328",4e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007970","D002433",2e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006660","D011239",4e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006429","C055162",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009181","C065179",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012216","D003078",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004417","D010406",0,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005355","D006396",0.006309,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006261","D006261",1,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D008139","D001726",0.002027,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009202","D013575",0.003264,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000860","D012640",0.004668,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D050171","C011819",2e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D013789","D014202",0.00123,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012640","D016642",1.8e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000787","D009638",3.4e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009220","D008775",4e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004433","D000658",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001991","C093875",1.3e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","C065179","D008148",0.00396,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D013035","D005665",4e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D014103","D004917",0,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003872","D006967",0.044728,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001161","D007511",0.010677,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006432","D011141",0.001115,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D037061","D014098",0.117268,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003681","D013217",0.005722,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003092","D004827",0.004274,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007662","D013217",0.003209,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012640","D014635",0.000137,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006069","C055162",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D013789","D006453",0.508659,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D045262","D001241",3e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009181","D016190",2e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009181","D008581",0.066704,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010167","C011819",6e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006356","D007052",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003061","D003915",0.081069,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000111","D000241",0.000953,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004205","D011239",0.003889,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003967","D002433",5e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002442","D002443",0.104097,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010146","D009020",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009270","D005283",0.008359,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D014657","D006429",0.002768,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003078","D011339",0.006891,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D019808","C081489",0.074313,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005355","D000740",0.002213,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","C043266","D001505",5e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012899","D014615",0.742482,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010787","D003872",0.05765,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003907","C073008",0.00184,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006505","D000082",5e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007511","D012798",0.002324,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006547","D004433",0.004977,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006042","D012594",0.004011,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001259","D000431",9e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D015047","D001404",0.09501,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012135","D012135",1,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D050197","D000787",0.011325,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006505","D006396",0.001981,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009270","D009020",0.038273,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003967","D003078",2e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009220","D009135",0.163993,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001991","D008139",6e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D053159","D002939",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D015242","C104727",0.001547,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012001","D001761",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002701","D002443",0.019094,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002433","D002440",0.196421,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004917","D008012",0.002622,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007037","D007246",0.002517,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","C064276","D002119",0.001532,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002389","D053609",0.330454,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012552","D017292",0,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D059606","D011141",0.054932,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005355","C065179",5e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012135","D012913",0.839641,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001262","D005665",0.024268,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D053448","D002939",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003681","D004403",0.002173,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004656","D017706",0.124983,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D045262","D006396",0.013647,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D014511","D006970",0.000152,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007662","D007328",6.9e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001759","D012640",0.001774,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006493","D011479",0.044041,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009202","D012135",0.003808,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009181","D010146",0.003063,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011507","D008914",6e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000787","D004417",0.004651,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D016470","D001766",0.000632,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D050171","C065179",2.5e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D014511","D004614",0.002046,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010024","D009202",0.007851,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","C011819","C011819",1,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012216","D000082",2.7e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002006","D015047",0.048127,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001262","D008790",0.125135,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004614","D002100",0.718288,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D013217","D000855",0.000892,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001764","D014859",9.9e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000667","D000658",0.23634,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000787","D003967",0.002547,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005665","D008353",0.011681,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D013923","D006493",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005094","D053448",0.0012,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D014511","D001241",1.8e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002230","D006118",0.001194,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006967","D001505",2.1e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006547","D006042",0.006588,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003681","D013575",0.003588,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001168","D012216",0.202851,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007246","D000858",0.012235,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001991","C057823",1.3e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D009181","D006660",0.839174,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D044343","D044342",0.286154,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012640","D004827",0.131191,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003490","D005492",5e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007246","D001764",0.00109,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004917","D000493",0.002226,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D006356","C064276",1e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D007037","D013974",4e-05,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005094","D013974",7e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004244","D014717",0.040027,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D050171","D000787",0.000582,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005873","D001361",0.001566,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D020280","D005473",0.060628,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010538","D001259",0.001855,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","C073008","D019386",0.087164,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","C055162","C065179",0.001108,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004837","D009638",0.136603,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D003248","D003967",0.177674,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D001168","D005355",0.005389,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D008581","D014376",0.014915,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D004244","D000431",2e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002386","D009270",2e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D011595","D009020",7e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D000857","D001044",0.013594,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D012798","D002230",6e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005355","D008727",6e-06,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D005901","D006261",0.002142,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D010959","D013300",0.059501,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D017963","D002939",0.004976,NA,NA,NA,NA
"msh","UMNSRS_similarity_mesh","D002389","D009270",1e-06,NA,NA,NA,NA
