sct	MiniMayoSRS	Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	RADA	INTRINSIC_RADA	JACCARD	SOKAL	lcs(s)	corpus lcs	intrinsic lcs	paths
sct	MiniMayoSRS	11381005	61968008	0.387790	0.028475	0.000000	0.076923	0.000000	0.803030	0.000000	0.000000	0.000000	138875005		138875005	138875005=11381005->3441005->238714008->128598002->106077005->118234003->404684003->*138875005*<-61968008<-334251007<-272181003<-49062001<-260787004
sct	MiniMayoSRS	73211009	38341003	0.503672	0.153441	0.360011	0.125000	0.048904	0.878788	0.449618	0.219520	0.123293	362965005		362965005	362965005=73211009->17346000->362969004->*362965005*<-38341003<-359557001<-27550009<-49601007
sct	MiniMayoSRS	32498003	179344006	0.323760	-0.007437	0.000000	0.058824	0.000000	0.742424	0.000000	0.000000	0.000000	138875005		138875005	138875005=32498003->116616004->396458002->103036003->304275008->406463001->414053005->413477004->406455002->105590001->*138875005*<-179344006<-19063003<-188383006<-363320004<-362958002<-71388002
sct	MiniMayoSRS	70179006	73761001	0.310117	-0.003757	0.000000	0.055556	0.000000	0.727273	0.000000	0.000000	0.000000	138875005		138875005	138875005=70179006->86049000->367651003->108369006->400177003->416939005->4147007->49755003->118956008->123037004->*138875005*<-73761001<-6019008<-69201005<-118155006<-423827005<-363691001<-71388002
sct	MiniMayoSRS	128863005	126692004	0.503672	0.134204	0.343599	0.125000	0.045662	0.878788	0.408540	0.207437	0.115721	123946008|362965005		362965005	123946008=128863005->111590001->414027002->362965005->*123946008*<-126692004<-60600009<-118939000|362965005=128863005->111590001->414027002->*362965005*<-126692004<-60600009<-201060008<-50043002
sct	MiniMayoSRS	74400008	64859006	0.475560	0.110024	0.307749	0.111111	0.041891	0.863636	0.352748	0.181858	0.100024	123946008		123946008	123946008=74400008->302168000->363169009->363170005->*123946008*<-64859006<-76069003<-312225001<-105969002
sct	MiniMayoSRS	35489007	128045006	0.572337	0.153658	0.284285	0.166667	0.048942	0.909091	0.450066	0.165695	0.090331	64572001		64572001	64572001=35489007->46206005->74732009->*64572001*<-128045006<-128139000
sct	MiniMayoSRS	55822004	363346000	0.503672	0.195514	0.317393	0.125000	0.056817	0.878788	0.530216	0.188632	0.104138	64572001		64572001	64572001=55822004->238037008->48286001->75934005->*64572001*<-363346000<-55342001<-399981008
sct	MiniMayoSRS	24700007	69322001	0.572337	0.114857	0.255736	0.166667	0.042619	0.909091	0.364288	0.146615	0.079107	64572001		64572001	64572001=24700007->6118003->362975008->*64572001*<-69322001<-74732009
sct	MiniMayoSRS	13200003	57190000	0.427663	0.113214	0.326168	0.090909	0.042370	0.833333	0.360386	0.194863	0.107949	362965005		362965005	362965005=13200003->119291004->50410009->84410009->53619000->*362965005*<-57190000<-39021009<-72128008<-95677002<-128127008
sct	MiniMayoSRS	39772007	15825003	0.353634	0.000875	0.000000	0.066667	0.000000	0.772727	0.000000	0.000000	0.000000	138875005		138875005	138875005=39772007->399505005->254588001->441456002->64572001->404684003->*138875005*<-15825003<-3711007<-314237003<-59820001<-113343008<-91723000<-442083009<-123037004
sct	MiniMayoSRS	12856003	244568009	0.353634	0.080345	0.263660	0.066667	0.037685	0.772727	0.277354	0.151848	0.082162	123037004		123037004	123037004=12856003->399989005->25322007->107658001->49755003->118956008->*123037004*<-244568009<-43653007<-74135004<-61496007<-21793004<-85756007<-91723000<-442083009
sct	MiniMayoSRS	87715008	420054005	0.475560	0.187958	0.515811	0.111111	0.055307	0.863636	0.516618	0.347537	0.210315	76712006		76712006	76712006=87715008->78948009->10890000->283015002->*76712006*<-420054005<-425413006<-427399008<-235856003
msh	MiniMayoSRS	D051437	D051437	1.000000	1.000000	1.000000	1.000000	1.000000	0.968750	1.000000	1.000000	1.000000	D051437		D051437	D051437=D051437
msh	MiniMayoSRS	D000028	D000022	0.438529	0.013736	0.000000	0.142857	0.000000	0.781250	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D000028->D013513->D013514->*C0000000*<-D000022<-D011248<-D005261
msh	MiniMayoSRS	D006321	D009206	0.800000	0.616630	0.894865	0.500000	0.277819	0.937500	0.907962	0.809733	0.680295	D006321		D006321	D006321=D006321*<-D009206
msh	MiniMayoSRS	D020521	D007238	0.366015	-0.002035	0.000000	0.111111	0.000000	0.718750	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D020521->D002561->D014652->D002318->*C0000000*<-D007238<-D007511<-D010335<-D013568
msh	MiniMayoSRS	D003702	D012559	0.400000	0.000000	0.000000	0.125000	0.000000	0.750000	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D003702->D001526->D001519->D001520->*C0000000*<-D012559<-D019967<-D001523
msh	MiniMayoSRS	D002113	D003251	0.400000	-0.009570	0.000000	0.125000	0.000000	0.750000	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D002113->D048788->D055705->D010829->*C0000000*<-D003251<-D020763<-D013568
msh	MiniMayoSRS	D009362	D000230	0.438529	0.235770	0.517620	0.142857	0.077834	0.781250	0.580504	0.349182	0.211521	D009369		D009369	D009369=D009362->D009385->*D009369*<-D000230<-D002277<-D009375<-D009370
msh	MiniMayoSRS	D006333	D011654	0.438529	0.001806	0.000000	0.142857	0.000000	0.781250	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D006333->D006331->D002318->*C0000000*<-D011654<-D008171<-D012140
msh	MiniMayoSRS	D011658	D008175	0.683007	0.342952	0.704569	0.333333	0.111347	0.906250	0.717422	0.543887	0.373520	D008171		D008171	D008171=D011658->*D008171*<-D008175
msh	MiniMayoSRS	D003967	D013272	0.400000	0.018835	0.000000	0.125000	0.000000	0.750000	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D003967->D012817->D012816->D013568->*C0000000*<-D013272<-D005767<-D004066
msh	MiniMayoSRS	D008946	D001281	0.535614	0.258788	0.614176	0.200000	0.084055	0.843750	0.614176	0.443185	0.284674	D006331		D006331	D006331=D008946->D006349->*D006331*<-D001281<-D001145
msh	MiniMayoSRS	D001932	D020300	0.600000	0.291486	0.631685	0.250000	0.093758	0.875000	0.657766	0.461652	0.300096	D001927		D001927	D001927=D001932->*D001927*<-D020300<-D002561
msh	MiniMayoSRS	D000900	D006967	0.400000	0.036567	0.000000	0.125000	0.000000	0.750000	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D000900->D000890->D045506->D020228->D020164->*C0000000*<-D006967<-D007154
msh	MiniMayoSRS	D011655	D009203	0.483007	0.266678	0.610739	0.166667	0.086300	0.812500	0.625134	0.439615	0.281735	D014652		D014652	D014652=D011655->D004617->D016769->*D014652*<-D009203<-D017202
msh	MiniMayoSRS	D002349	D010003	0.400000	-0.005675	0.000000	0.125000	0.000000	0.750000	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D002349->D012090->D013180->D014947->*C0000000*<-D010003<-D012216<-D009140
msh	MiniMayoSRS	D001172	D008180	0.683007	0.373656	0.737448	0.333333	0.123375	0.906250	0.748423	0.584094	0.412523	D001327		D001327	D001327=D001172->*D001327*<-D008180
msh	MiniMayoSRS	D000152	D013594	0.438529	-0.010415	0.000000	0.142857	0.000000	0.781250	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D000152->D017486->D012871->D017437->*C0000000*<-D013594<-D004864
msh	MiniMayoSRS	D003920	D006973	0.483007	0.023929	0.000000	0.166667	0.000000	0.812500	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D003920->D004700->*C0000000*<-D006973<-D014652<-D002318
msh	MiniMayoSRS	D003348	D019645	0.335614	-0.010415	0.000000	0.100000	0.000000	0.687500	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D003348->D011283->D011278->D013256->D011083->*C0000000*<-D019645<-D019643<-D019919<-D013514
msh	MiniMayoSRS	D018281	D003113	0.283007	-0.009230	0.000000	0.083333	0.000000	0.625000	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D018281->D000230->D002277->D009375->D009370->D009369->*C0000000*<-D003113<-D016099<-D016145<-D013505<-D013514
msh	MiniMayoSRS	D019310	D007822	0.438529	-0.010415	0.000000	0.142857	0.000000	0.781250	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D019310->D008206->D006425->*C0000000*<-D007822<-D010039<-D010038
msh	MiniMayoSRS	D001064	D010024	0.366015	-0.005404	0.000000	0.111111	0.000000	0.718750	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D001064->D005759->D005767->D004066->*C0000000*<-D010024<-D001851<-D001847<-D009140
msh	MiniMayoSRS	D003866	D002481	0.438529	0.003040	0.000000	0.142857	0.000000	0.781250	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D003866->D019964->D001523->*C0000000*<-D002481<-D003240<-D017437
msh	MiniMayoSRS	D006949	D009362	0.366015	0.010680	0.000000	0.111111	0.000000	0.718750	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D006949->D050171->D052439->D008659->D009750->*C0000000*<-D009362<-D009385<-D009369
msh	MiniMayoSRS	D009103	D011618	0.400000	-0.003479	0.000000	0.125000	0.000000	0.750000	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D009103->D020278->D003711->D009422->*C0000000*<-D011618<-D019967<-D001523
msh	MiniMayoSRS	D010437	D009216	0.438529	0.001057	0.000000	0.142857	0.000000	0.781250	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D010437->D005767->D004066->*C0000000*<-D009216<-D012030<-D005128
msh	MiniMayoSRS	D003111	D001011	0.335614	-0.003393	0.000000	0.100000	0.000000	0.687500	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D003111->D007417->D011127->D020763->D013568->*C0000000*<-D001011<-D001158<-D001808<-D002319
msh	MiniMayoSRS	D014648	D007717	0.400000	-0.007101	0.000000	0.125000	0.000000	0.750000	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D014648->D014652->D002318->*C0000000*<-D007717<-D035002<-D005121<-D001829
msh	MiniMayoSRS	D014987	D008104	0.366015	-0.007710	0.000000	0.111111	0.000000	0.718750	0.000000	0.000000	0.000000	C0000000		C0000000	C0000000=D014987->D012466->D009059->D009057->*C0000000*<-D008104<-D008108<-D008107<-D004066
msh-umls	MiniMayoSRS	C0035078	C0035078	1.000000	1.000000	1.000000	1.000000	1.000000	0.973684	1.000000	1.000000	1.000000	C0035078		C0035078	C0035078=C0035078
msh-umls	MiniMayoSRS	C0392535	C0000786	0.395966	0.029498	0.059943	0.111111	0.030898	0.763158	0.128089	0.030898	0.015691	C1256741		C1256741	C1256741=C0392535->C0038906->C0543467->C0002784->*C1256741*<-C0000786<-C0032962<-C1720765<-C0012674
msh-umls	MiniMayoSRS	C0018787	C0027061	0.809449	0.652091	0.923807	0.500000	0.287518	0.947368	0.931112	0.858403	0.751932	C0018787		C0018787	C0018787=C0018787*<-C0027061
msh-umls	MiniMayoSRS	C0038454	C0021308	0.395966	0.140200	0.390004	0.111111	0.045939	0.763158	0.422664	0.242239	0.137811	C0012674		C0012674	C0012674=C0038454->C0007820->C0042373->C0007222->*C0012674*<-C0021308<-C0027540<-C0030660<-C0039058
msh-umls	MiniMayoSRS	C0011253	C0036341	0.428346	0.168380	0.469915	0.125000	0.050819	0.789474	0.480775	0.307117	0.181416	C1256749		C1256749	C1256749=C0011253->C0004941->C0004927->C0004928->*C1256749*<-C0036341<-C0525046<-C0004936
msh-umls	MiniMayoSRS	C0006660	C1261287	0.367002	0.016121	0.057219	0.100000	0.029452	0.736842	0.083921	0.029452	0.014946	C1256741		C1256741	C1256741=C0006660->C0018271->C0031845->C2350828->C2930671->*C1256741*<-C1261287<-C0752135<-C0039058<-C0012674
msh-umls	MiniMayoSRS	C0027627	C0001418	0.465055	0.283861	0.627958	0.142857	0.076862	0.815789	0.666122	0.457682	0.296749	C0027651		C0027651	C0027651=C0027627->C0027671->*C0027651*<-C0001418<-C0007097<-C0027660<-C0027652
msh-umls	MiniMayoSRS	C0018802	C0034063	0.428346	0.119169	0.371419	0.125000	0.042604	0.789474	0.375305	0.228063	0.128708	C0012674		C0012674	C0012674=C0018802->C0018801->C0018799->C0007222->*C0012674*<-C0034063<-C0024115<-C0035242
msh-umls	MiniMayoSRS	C0034069	C0242379	0.618897	0.353511	0.743030	0.250000	0.098647	0.894737	0.745995	0.591128	0.419575	C0024115		C0024115	C0024115=C0034069->*C0024115*<-C0242379<-C0024121
msh-umls	MiniMayoSRS	C0011991	C0038354	0.428346	0.154610	0.402968	0.125000	0.048373	0.789474	0.453113	0.252323	0.144376	C0012674		C0012674	C0012674=C0011991->C0037089->C0037088->C0039058->*C0012674*<-C0038354<-C0017178<-C0012242
msh-umls	MiniMayoSRS	C0026269	C0004238	0.557553	0.288556	0.670763	0.200000	0.078165	0.868421	0.672154	0.504623	0.337455	C0018799		C0018799	C0018799=C0026269->C0018824->*C0018799*<-C0004238<-C0003811
msh-umls	MiniMayoSRS	C0006118	C0151699	0.618897	0.302176	0.654819	0.250000	0.082074	0.894737	0.689093	0.486788	0.321692	C0006111		C0006111	C0006111=C0006118->*C0006111*<-C0151699<-C0007820
msh-umls	MiniMayoSRS	C0003232	C0020517	0.000000	0.236336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0034065	C0027051	0.507432	0.299877	0.676591	0.166667	0.081401	0.842105	0.686291	0.511248	0.343408	C0042373		C0042373	C0042373=C0034065->C0013922->C0085307->*C0042373*<-C0027051<-C0151744
msh-umls	MiniMayoSRS	C0007286	C0029408	0.428346	0.124641	0.376214	0.125000	0.043448	0.789474	0.387973	0.231690	0.131023	C0012674		C0012674	C0012674=C0007286->C0035127->C0038048->C0043251->*C0012674*<-C0029408<-C0035435<-C0026857
msh-umls	MiniMayoSRS	C0003873	C0024141	0.697983	0.385772	0.767766	0.333333	0.110734	0.921053	0.776754	0.623068	0.452504	C0004364		C0004364	C0004364=C0003873->*C0004364*<-C0024141
msh-umls	MiniMayoSRS	C0001144	C0039142	0.395966	0.012432	0.056488	0.111111	0.029065	0.763158	0.071361	0.029065	0.014747	C1256741		C1256741	C1256741=C0001144->C0036502->C0037274->C0175166->C0012674->*C1256741*<-C0039142<-C0014674<-C0002784
msh-umls	MiniMayoSRS	C0011849	C0020538	0.507432	0.172310	0.419125	0.166667	0.051540	0.842105	0.488424	0.265122	0.152819	C0012674		C0012674	C0012674=C0011849->C0014130->*C0012674*<-C0020538<-C0042373<-C0007222
msh-umls	MiniMayoSRS	C0010137	C0086511	0.316880	0.015966	0.057188	0.083333	0.029436	0.684211	0.083397	0.029436	0.014938	C0000000|C1256741		C1256741	C0000000=C0010137->C0003209->C1258064->C0600511->C0600512->*C0000000*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784<-C1256741|C1256741=C0010137->C0033014->C0033006->C0038317->C0032456->C0007995->*C1256741*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784
msh-umls	MiniMayoSRS	C0206698	C0009378	0.274503	0.010536	0.056117	0.071429	0.028869	0.631579	0.064843	0.028868	0.014646	C1256741		C1256741	C1256741=C0206698->C0001418->C0007097->C0027660->C0027652->C0027651->C0012674->*C1256741*<-C0009378<-C0079278<-C0079277<-C0038898<-C0543467<-C0002784
msh-umls	MiniMayoSRS	C0221269	C0007107	0.428346	0.116537	0.369123	0.125000	0.042205	0.789474	0.369123	0.226334	0.127608	C0012674		C0012674	C0012674=C0221269->C0024228->C0018981->*C0012674*<-C0007107<-C0023055<-C0029897<-C0029896
msh-umls	MiniMayoSRS	C0003615	C0029456	0.395966	0.136431	0.386643	0.111111	0.045323	0.763158	0.414437	0.239651	0.136139	C0012674		C0012674	C0012674=C0003615->C0017160->C0017178->C0012242->*C0012674*<-C0029456<-C0005944<-C0005940<-C0026857
msh-umls	MiniMayoSRS	C0011581	C0007642	0.395966	0.020126	0.058021	0.111111	0.029878	0.763158	0.097366	0.029877	0.015165	C1256741		C1256741	C1256741=C0011581->C0525045->C0004936->C1256749->*C1256741*<-C0007642<-C0009782<-C0175166<-C0012674
msh-umls	MiniMayoSRS	C0020473	C0027627	0.395966	0.143732	0.393164	0.111111	0.046524	0.763158	0.430272	0.244682	0.139395	C0012674		C0012674	C0012674=C0020473->C0242339->C0154251->C0025517->C0028715->*C0012674*<-C0027627<-C0027671<-C0027651
msh-umls	MiniMayoSRS	C0026769	C0033975	0.367002	0.019983	0.057993	0.100000	0.029862	0.736842	0.096892	0.029862	0.015157	C0000000|C1256741		C1256741	C0000000=C0026769->C0751873->C0751871->C0751872->*C0000000*<-C0033975<-C0525046<-C0004936<-C1256749<-C1256741|C1256741=C0026769->C0751873->C0751871->C0027765->C0012674->*C1256741*<-C0033975<-C0525046<-C0004936<-C1256749
msh-umls	MiniMayoSRS	C0030920	C0027092	0.465055	0.149814	0.398633	0.142857	0.047548	0.815789	0.443151	0.248933	0.142161	C0012674		C0012674	C0012674=C0030920->C0017178->C0012242->*C0012674*<-C0027092<-C0034951<-C0015397
msh-umls	MiniMayoSRS	C0009376	C0003483	0.316880	0.013122	0.056624	0.083333	0.029137	0.684211	0.073725	0.029137	0.014784	C1256741		C1256741	C1256741=C0009376->C0021846->C0032584->C0752135->C0039058->C0012674->*C1256741*<-C0003483<-C0003842<-C0005847<-C0007226<-C0002807
msh-umls	MiniMayoSRS	C0042345	C0022742	0.367002	0.011201	0.056247	0.100000	0.028937	0.736842	0.067136	0.028937	0.014681	C1256741		C1256741	C1256741=C0042345->C0042373->C0007222->C0012674->*C1256741*<-C0022742<-C0023216<-C0015385<-C0005898<-C0002807
msh-umls	MiniMayoSRS	C0043352	C0023891	0.395966	0.118816	0.371110	0.111111	0.042550	0.763158	0.374478	0.227830	0.128560	C0012674		C0012674	C0012674=C0043352->C0036093->C0026636->C0038368->*C0012674*<-C0023891<-C0023890<-C0023895<-C0012242
sct-umls	MayoSRS	C0311394	C0231685	0.000000	0.179105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
sct-umls	MayoSRS	C0035450	C0034079	0.000000	0.180284	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
sct-umls	MayoSRS	C0409162	C0333286	0.454300	0.010923	0.057531	0.100000	0.029516	0.852941	0.066549	0.029617	0.015031	C2720507		C2720507	C2720507=C0409162->C2315138->C1292883->C1293051->C1285152->C0184661->*C2720507*<-C0333286<-C0019080<-C0037088
sct-umls	MayoSRS	C0011849	C0032584	0.575363	0.124775	0.279966	0.166667	0.044276	0.911765	0.387189	0.162768	0.088594	C0012634		C0012634	C0012634=C0011849->C1257958->C0149670->C0025517->*C0012634*<-C0032584
sct-umls	MayoSRS	C0020541	C0027962	0.507184	0.077059	0.245679	0.125000	0.037356	0.882353	0.268409	0.140042	0.075293	C0012634		C0012634	C0012634=C0020541->C0585130->C1290864->C1290837->C1290853->*C0012634*<-C0027962<-C1302761
sct-umls	MayoSRS	C0018802	C0020541	0.575363	0.197440	0.524138	0.166667	0.057355	0.911765	0.533404	0.355140	0.215909	C0007222		C0007222	C0007222=C0018802->C1562298->C0018799->*C0007222*<-C0020541<-C0585130
sct-umls	MayoSRS	C0085649	C0034063	0.671456	0.395983	0.780509	0.250000	0.116328	0.941176	0.784339	0.640028	0.470619	C1290849		C1290849	C1290849=C0085649->*C1290849*<-C0034063<-C0578541
sct-umls	MayoSRS	C0022650	C0041956	0.618572	0.331889	0.714242	0.200000	0.092586	0.926471	0.721755	0.555503	0.384565	C1971734|C0042075|C1302710|C1290864		C1971734	C1971734=C0022650->C0022658->*C1971734*<-C0041956<-C0403608|C1302710=C0022650->C0022658->*C1302710*<-C0041956<-C0403608|C1290864=C0022650->C0022658->*C1290864*<-C0041956<-C0403608|C0042075=C0022650->C0451641->*C0042075*<-C0041956<-C0178879
sct-umls	MayoSRS	C0004604	C0037944	0.575363	0.249271	0.593611	0.166667	0.068984	0.911765	0.616843	0.422082	0.267493	C0575156		C0575156	C0575156=C0004604->C0575266->*C0575156*<-C0037944<-C0037933<-C1444784
sct-umls	MayoSRS	C1956089	C0018862	0.479270	0.130103	0.398096	0.111111	0.045125	0.867647	0.399243	0.248515	0.141888	C0426779		C0426779	C0426779=C1956089->C0015302->C0020492->C0005940->C0427191->*C0426779*<-C0018862<-C0575829<-C0427210
sct-umls	MayoSRS	C0003873	C0035450	0.575363	0.206211	0.526623	0.166667	0.059175	0.911765	0.548629	0.357426	0.217601	C1285333		C1285333	C1285333=C0003873->C0003864->C1285339->*C1285333*<-C0035450<-C0406388
sct-umls	MayoSRS	C0009871	C1444657	0.538830	0.040780	0.063779	0.142857	0.032828	0.897059	0.163582	0.032940	0.016746	C2720507		C2720507	C2720507=C0009871->C0013227->*C2720507*<-C1444657<-C0565964<-C0565961<-C1285164
sct-umls	MayoSRS	C0020971	C0021051	0.479270	0.099807	0.078117	0.111111	0.040509	0.867647	0.327555	0.040646	0.020745	C2720507		C2720507	C2720507=C0020971->C0150270->C1443302->C0184661->*C2720507*<-C0021051<-C1532237<-C0012634<-C0037088
sct-umls	MayoSRS	C0026848	C0011633	0.671456	0.437034	0.771559	0.250000	0.134644	0.941176	0.817537	0.628079	0.457810	C0026848		C0026848	C0026848=C0026848*<-C0011633<-C0085655<-C0027121
sct-umls	MayoSRS	C2267026	C0020473	0.000000	0.211774	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
sct-umls	MayoSRS	C0004093	C0442874	0.431712	0.118811	0.220394	0.090909	0.043346	0.838235	0.373423	0.123844	0.066010	C0037088		C0037088	C0037088=C0004093->C0015672->C1282984->C0424575->C1287406->*C0037088*<-C0442874<-C0027765<-C1285159<-C1290853<-C1290906
sct-umls	MayoSRS	C0013404	C0231835	0.575363	0.387804	0.755283	0.166667	0.112989	0.911765	0.777126	0.606791	0.435535	C0577969		C0577969	C0577969=C0013404->C1287669->*C0577969*<-C0231835<-C0577970<-C1291003
sct-umls	MayoSRS	C0034065	C0019079	0.618572	0.232705	0.576420	0.200000	0.065031	0.926471	0.591831	0.404908	0.253847	C0035204		C0035204	C0035204=C0034065->C0178272->*C0035204*<-C0019079<-C0235560
sct-umls	MayoSRS	C0029408	C0221434	0.431712	0.030500	0.061557	0.090909	0.031648	0.838235	0.131331	0.031756	0.016134	C2720507		C2720507	C2720507=C0029408->C1285232->C1285162->C0012634->C0037088->*C2720507*<-C0221434<-C1265981<-C0332447<-C1260954<-C1268086
sct-umls	MayoSRS	C0231736	C0231749	0.671456	0.340866	0.730443	0.250000	0.095594	0.941176	0.731404	0.575353	0.403856	C0576085		C0576085	C0576085=C0231736->C0576150->*C0576085*<-C0231749
sct-umls	MayoSRS	C0332536	C0024796	0.479270	0.048460	0.178883	0.111111	0.033739	0.867647	0.186917	0.098227	0.051650	C0037088		C0037088	C0037088=C0332536->C0332529->C0700329->C2711906->*C0037088*<-C0024796<-C0410787<-C0019247<-C0012634
sct-umls	MayoSRS	C0458343	C0016053	0.479270	0.010798	0.057506	0.111111	0.029503	0.867647	0.066120	0.029604	0.015024	C2720507		C2720507	C2720507=C0458343->C0459112->C2711400->C1268086->*C2720507*<-C0016053<-C1300028<-C0012634<-C0037088
sct-umls	MayoSRS	C0457086	C0003873	0.538830	0.197520	0.511938	0.142857	0.057372	0.897059	0.533546	0.344030	0.207751	C0427210		C0427210	C0427210=C0457086->C0162298->C0574961->*C0427210*<-C0003873<-C0003864<-C0574941
sct-umls	MayoSRS	C0038454	C0018989	0.507184	0.123645	0.341841	0.125000	0.044099	0.882353	0.384604	0.206157	0.114925	C1285159		C1285159	C1285159=C0038454->C0007820->C0042373->C0007222->*C1285159*<-C0018989<-C0007682<-C0027765
sct-umls	MayoSRS	C0006121	C1269897	0.507184	0.186527	0.455944	0.125000	0.055169	0.882353	0.513786	0.295290	0.173220	C0229983		C0229983	C0229983=C0006121->C0459385->C0445620->C0504215->*C0229983*<-C1269897<-C1280541<-C1280836
