Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
D001145	D008943	0.000000	0.410315	0.230774	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D001145->D006331->D002318->*C0000000*<-D008943<-D006351<-D006321<-D002319
D004408	D003679	0.000000	0.347036	0.212801	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D004408->D013651->D012678->D009461->D009422->*C0000000*<-D003679<-D052799<-D004068<-D055688
D010406	D006967	0.000000	0.448182	0.261588	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D010406->D047090->D013457->D009930->*C0000000*<-D006967<-D007154
D007938	D013234	0.000000	0.491896	0.253767	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=D007938->D009370->D009369->*C0000000*<-D013234<-D002477
D011471	D000135	0.000000	0.320008	0.227920	0.000000	0.090909	0.000000	0.166667	C0000000	C0000000	C0000000	C0000000=D011471->D005834->D014565->D052801->*C0000000*<-D000135<-D010744<-D004950<-D006867<-D004798<-D045762
D012964	D008279	0.000000	0.376914	0.227203	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D012964->D008672->D008670->D007287->*C0000000*<-D008279<-D003952<-D019937<-D003933
D011516	D013594	0.000000	0.491896	0.227605	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=D011516->D001779->D001685->*C0000000*<-D013594<-D004864
D009101	D003866	0.000000	0.410315	0.220451	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D009101->D020141->D014652->D002318->*C0000000*<-D003866<-D019964<-D001523
D003920	D012218	0.000000	0.448182	0.228896	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D003920->D004700->*C0000000*<-D012218<-D001172<-D012216<-D009140
D014135	D003110	0.000000	0.347036	0.219224	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D014135->D014133->D012140->*C0000000*<-D003110<-D015179<-D012002<-D007410<-D005767<-D004066
D006333	D011618	0.000000	0.448182	0.225004	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006333->D006331->D002318->*C0000000*<-D011618<-D019967<-D001523
D008946	D010437	0.000000	0.410315	0.218888	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D008946->D006349->D006331->D002318->*C0000000*<-D010437<-D005767<-D004066
D012128	D002481	0.000000	0.448182	0.214140	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D012128->D012120->D012140->*C0000000*<-D002481<-D003240<-D017437
D019693	D007752	0.000000	0.410315	0.214386	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D019693->D001327->D007154->*C0000000*<-D007752<-D007744<-D011248<-D005261
D002532	D011655	0.555588	0.491896	0.439911	0.659477	0.166667	0.077398	0.545455	D014652	D014652	D014652	D014652=D002532->D000783->*D014652*<-D011655<-D004617<-D016769
D055752	D003924	0.000000	0.376914	0.215912	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D055752->D002283->D008175->D012142->D012140->*C0000000*<-D003924<-D003920<-D004700
D006396	D014987	0.000000	0.376914	0.214386	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D006396->D006471->D005767->D004066->*C0000000*<-D014987<-D012466<-D009059<-D009057
D003320	D003668	0.000000	0.410315	0.213824	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D003320->D015817->D005128->*C0000000*<-D003668<-D012883<-D012871<-D017437
D029424	D006209	0.000000	0.376914	0.214386	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D029424->D008173->D008171->D012140->*C0000000*<-D006209<-D012817<-D012816<-D013568
D010003	D053040	0.000000	0.410315	0.219026	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D010003->D012216->D009140->*C0000000*<-D053040<-D007674<-D014570<-D052801
D011658	D001064	0.000000	0.410315	0.214742	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D011658->D008171->D012140->*C0000000*<-D001064<-D059413<-D007239<-D001423
D004890	D010024	0.000000	0.410315	0.235454	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D004890->D012871->D017437->*C0000000*<-D010024<-D001851<-D001847<-D009140
