c0006949 C0006949:1
c0017601 C0017601:1
c0036494 C0036494:1
c0003862 C0003862:1
c0001047 C0001047:1
c0398623 C0398623:1
c0018021 C0018021:1
c0684275 C0684275:1
c0271397 C0271397:1
c0013428 C0013428:1
c0231236 C0231236:1
c0002940 C0002940:1
c0009262 C0009262:1
c0019270 C0019270:1
c1257763 C1257763:1
c0086543 C0086543:1
c0001962 C0001962:1
c0020550 C0020550:1
c0016410 C0016410:1
c0116569 C0116569:1
c0021359 C0021359:1
c0040822 C0040822:1
c0011847 C0011847:1
c0043031 C0043031:1
c0030305 C0030305:1
c0017160 C0017160:1
c0019655 C0019655:1
c0149651 C0149651:1
c0018991 C0018991:1
c0026946 C0026946:1
c0035435 C0035435:1
c0013404 C0013404:1
c1623038 C1623038:1
c0877781 C0877781:1
c0004153 C0004153:1
c0920289 C0920289:1
c0878544 C0878544:1
c0003129 C0003129:1
c0036494 C0036494:1
c0242339 C0242339:1
c0039730 C0039730:1
c0009951 C0009951:1
c0002962 C0002962:1
c0010592 C0010592:1
c0037763 C0037763:1
c0003128 C0003128:1
c0022116 C0022116:1
c0006277 C0006277:1
c0286651 C0286651:1
c0032285 C0032285:1
c0037763 C0037763:1
c0040485 C0040485:1
c0011603 C0011603:1
c0947651 C0947651:1
c0003850 C0003850:1
c0018995 C0018995:1
c0025587 C0025587:1
c0011175 C0011175:1
c0009319 C0009319:1
c0011847 C0011847:1
c0162275 C0162275:1
c0054836 C0054836:1
c0301532 C0301532:1
c0020676 C0020676:1
c0039730 C0039730:1
c0026946 C0026946:1
c0030232 C0030232:1
c0332566 C0332566:1
c0018834 C0018834:1
c0995182 C0995182:1
c0009214 C0009214:1
c0001047 C0001047:1
c0086073 C0086073:1
c0007559 C0007559:1
c0030193 C0030193:1
c0027358 C0027358:1
c0001824 C0001824:1
c0013428 C0013428:1
c0042384 C0042384:1
c0917801 C0917801:1
c0009262 C0009262:1
c1623038 C1623038:1
c0038187 C0038187:1
c0008947 C0008947:1
c0019158 C0019158:1
c0019270 C0019270:1
c0003862 C0003862:1
c0018021 C0018021:1
c0004134 C0004134:1
c0043528 C0043528:1
c0043167 C0043167:1
c0035508 C0035508:1
c0002962 C0002962:1
c0004153 C0004153:1
c0019158 C0019158:1
c0027358 C0027358:1
c0232955 C0232955:1
c0011991 C0011991:1
c0027121 C0027121:1
c0006277 C0006277:1
c0013428 C0013428:1
c0282386 C0282386:1
c0011847 C0011847:1
c0011175 C0011175:1
c0034880 C0034880:1
c0008168 C0008168:1
c0007537 C0007537:1
c0014806 C0014806:1
c0007398 C0007398:1
c0020517 C0020517:1
c0085602 C0085602:1
c1623038 C1623038:1
c0038450 C0038450:1
c0004147 C0004147:1
c0242453 C0242453:1
c0085636 C0085636:1
c0011175 C0011175:1
c0014025 C0014025:1
c0206160 C0206160:1
c0041948 C0041948:1
c0026848 C0026848:1
c0041948 C0041948:1
c0162275 C0162275:1
c0553735 C0553735:1
c0005716 C0005716:1
c0006840 C0006840:1
c0019134 C0019134:1
c0878544 C0878544:1
c0026946 C0026946:1
c0033687 C0033687:1
c0002962 C0002962:1
c0004610 C0004610:1
c0242339 C0242339:1
c0041948 C0041948:1
c0029456 C0029456:1
c0235250 C0235250:1
c0242723 C0242723:1
c0442874 C0442874:1
c0018834 C0018834:1
c0036494 C0036494:1
c0060277 C0060277:1
c0008350 C0008350:1
c0007716 C0007716:1
c0006309 C0006309:1
c0001927 C0001927:1
c0004899 C0004899:1
c0020459 C0020459:1
c0018546 C0018546:1
c0004147 C0004147:1
c0038187 C0038187:1
c0002962 C0002962:1
c0005367 C0005367:1
c0016860 C0016860:1
c0041948 C0041948:1
c0021167 C0021167:1
c0070166 C0070166:1
c0040038 C0040038:1
c0015300 C0015300:1
c0041948 C0041948:1
c0006982 C0006982:1
c0020517 C0020517:1
c0019270 C0019270:1
c0011175 C0011175:1
c0553735 C0553735:1
c0206160 C0206160:1
c0231851 C0231851:1
c0003864 C0003864:1
c0036396 C0036396:1
c0011053 C0011053:1
c0021359 C0021359:1
c0006277 C0006277:1
c0026946 C0026946:1
c0006644 C0006644:1
c0175848 C0175848:1
c0076275 C0076275:1
c0086543 C0086543:1
c1257763 C1257763:1
c0009951 C0009951:1
c0010520 C0010520:1
c0021359 C0021359:1
c0442874 C0442874:1
c0014806 C0014806:1
c0018834 C0018834:1
c0030232 C0030232:1
c0231451 C0231451:1
c0020676 C0020676:1
c0239779 C0239779:1
c0086140 C0086140:1
c0013369 C0013369:1
c0015300 C0015300:1
c0021359 C0021359:1
c0012833 C0012833:1
c0242339 C0242339:1
c0017536 C0017536:1
c0018021 C0018021:1
c0030552 C0030552:1
c0036572 C0036572:1
c0074393 C0074393:1
c0031154 C0031154:1
c0246719 C0246719:1
c0003862 C0003862:1
c0149651 C0149651:1
c0070166 C0070166:1
c0018933 C0018933:1
c0014563 C0014563:1
c0009806 C0009806:1
c0023530 C0023530:1
c0002962 C0002962:1
c0086543 C0086543:1
c0004905 C0004905:1
c0085631 C0085631:1
c0003126 C0003126:1
c0013132 C0013132:1
c0039070 C0039070:1
c2004489 C2004489:1
c0032143 C0032143:1
c0717550 C0717550:1
c0702166 C0702166:1
c0007398 C0007398:1
c0003862 C0003862:1
c0005747 C0005747:1
c0085635 C0085635:1
c0025289 C0025289:1
c0017628 C0017628:1
c0004153 C0004153:1
c0003126 C0003126:1
c0235250 C0235250:1
c0013456 C0013456:1
c0235250 C0235250:1
c0398623 C0398623:1
c0018834 C0018834:1
c0028754 C0028754:1
c0017642 C0017642:1
c0004153 C0004153:1
c0231655 C0231655:1
c0019209 C0019209:1
c0751229 C0751229:1
c0392071 C0392071:1
c0016204 C0016204:1
c0451641 C0451641:1
c0001367 C0001367:1
c0016382 C0016382:1
c0152149 C0152149:1
c0018995 C0018995:1
c0149651 C0149651:1
c0152149 C0152149:1
c0232471 C0232471:1
c0036396 C0036396:1
c0006277 C0006277:1
c0006840 C0006840:1
c0012265 C0012265:1
c0002333 C0002333:1
c0013404 C0013404:1
c0020676 C0020676:1
c0011847 C0011847:1
c0040038 C0040038:1
c0030305 C0030305:1
c0014544 C0014544:1
c0149651 C0149651:1
c0035435 C0035435:1
c0035435 C0035435:1
c0011847 C0011847:1
c0877781 C0877781:1
c0040038 C0040038:1
c0019079 C0019079:1
c0029456 C0029456:1
c0002962 C0002962:1
c0012833 C0012833:1
c0004134 C0004134:1
c0026946 C0026946:1
c0036396 C0036396:1
c0009014 C0009014:1
c0065374 C0065374:1
c0003615 C0003615:1
c0007561 C0007561:1
c0877781 C0877781:1
c0070166 C0070166:1
c0017160 C0017160:1
c0014544 C0014544:1
c0020639 C0020639:1
c0013404 C0013404:1
c0028978 C0028978:1
c0032285 C0032285:1
c0025815 C0025815:1
c0022116 C0022116:1
c0025587 C0025587:1
c0231655 C0231655:1
c0026946 C0026946:1
c0027497 C0027497:1
c1883552 C1883552:1
c0079083 C0079083:1
c0442874 C0442874:1
c0039128 C0039128:1
c0022251 C0022251:1
c0013090 C0013090:1
c0041948 C0041948:1
c0034642 C0034642:1
c0231451 C0231451:1
c0152149 C0152149:1
c0030305 C0030305:1
c0030305 C0030305:1
c0043066 C0043066:1
c0040038 C0040038:1
c0019158 C0019158:1
c0034880 C0034880:1
c0040034 C0040034:1
c0003615 C0003615:1
c0151818 C0151818:1
c0012963 C0012963:1
c0025587 C0025587:1
c0015772 C0015772:1
c0741439 C0741439:1
c0028351 C0028351:1
c0085593 C0085593:1
c0276185 C0276185:1
c1257763 C1257763:1
c0023530 C0023530:1
c0040165 C0040165:1
c0004153 C0004153:1
c0232197 C0232197:1
c0553735 C0553735:1
c0001911 C0001911:1
c0398623 C0398623:1
c0004153 C0004153:1
c0009024 C0009024:1
c0553735 C0553735:1
c0013404 C0013404:1
c0242723 C0242723:1
c0006309 C0006309:1
c0013428 C0013428:1
c0039730 C0039730:1
c0041296 C0041296:1
c0017887 C0017887:1
c0020517 C0020517:1
c0242706 C0242706:1
c0009806 C0009806:1
c0006840 C0006840:1
c0074554 C0074554:1
c0009421 C0009421:1
c0002962 C0002962:1
c0011053 C0011053:1
c0042384 C0042384:1
c0039070 C0039070:1
c0018081 C0018081:1
c0242706 C0242706:1
c0036323 C0036323:1
c0286651 C0286651:1
c0037384 C0037384:1
c0003129 C0003129:1
c0009421 C0009421:1
c0085208 C0085208:1
c0003126 C0003126:1
c0018681 C0018681:1
c0741439 C0741439:1
c0005740 C0005740:1
c0376286 C0376286:1
c0026946 C0026946:1
c0162323 C0162323:1
c0878544 C0878544:1
c1623038 C1623038:1
c0020175 C0020175:1
c0020676 C0020676:1
c0242706 C0242706:1
c0022116 C0022116:1
c0003128 C0003128:1
c0041296 C0041296:1
c0232197 C0232197:1
c0020676 C0020676:1
c0039128 C0039128:1
c0013132 C0013132:1
c0003864 C0003864:1
c0011847 C0011847:1
c0019079 C0019079:1
c0030232 C0030232:1
c0039128 C0039128:1
c0086543 C0086543:1
c0014544 C0014544:1
c0276185 C0276185:1
c0001416 C0001416:1
c0018834 C0018834:1
c0553735 C0553735:1
c0149651 C0149651:1
c0004096 C0004096:1
c0040038 C0040038:1
c0232197 C0232197:1
c0178664 C0178664:1
c0028734 C0028734:1
c0036572 C0036572:1
c0231655 C0231655:1
c0002144 C0002144:1
c0018995 C0018995:1
c0002403 C0002403:1
c0025289 C0025289:1
c0032285 C0032285:1
c0040038 C0040038:1
c0009090 C0009090:1
c0040822 C0040822:1
c0014544 C0014544:1
c0024205 C0024205:1
c0085631 C0085631:1
c0003128 C0003128:1
c0041834 C0041834:1
c0011175 C0011175:1
c0034642 C0034642:1
c0010137 C0010137:1
c0018681 C0018681:1
c0003864 C0003864:1
c0041834 C0041834:1
c0028754 C0028754:1
c0013404 C0013404:1
c0020517 C0020517:1
c0041948 C0041948:1
c0242453 C0242453:1
c0344370 C0344370:1
c0017160 C0017160:1
c0009421 C0009421:1
c1883552 C1883552:1
c0232471 C0232471:1
c0002871 C0002871:1
c0002962 C0002962:1
c0013404 C0013404:1
c0242339 C0242339:1
c0020459 C0020459:1
c0023530 C0023530:1
c0025289 C0025289:1
c1883552 C1883552:1
c0009806 C0009806:1
c0232197 C0232197:1
c0242339 C0242339:1
c0043144 C0043144:1
c0043066 C0043066:1
c0030232 C0030232:1
c0019079 C0019079:1
c0034642 C0034642:1
c0002871 C0002871:1
c0016579 C0016579:1
c0246719 C0246719:1
c0023570 C0023570:1
c0011603 C0011603:1
c0009187 C0009187:1
c0005747 C0005747:1
c0557875 C0557875:1
c0032617 C0032617:1
c0040460 C0040460:1
c0024730 C0024730:1
c0029877 C0029877:1
c0009024 C0009024:1
c0004134 C0004134:1
c0220892 C0220892:1
c0016157 C0016157:1
c0028734 C0028734:1
c0026946 C0026946:1
c0497327 C0497327:1
c0013369 C0013369:1
c0032064 C0032064:1
c0034494 C0034494:1
c0301532 C0301532:1
c0021400 C0021400:1
c0034494 C0034494:1
c0017536 C0017536:1
c0033860 C0033860:1
c0033497 C0033497:1
c0040460 C0040460:1
c0011633 C0011633:1
c0038187 C0038187:1
c0003128 C0003128:1
c0276185 C0276185:1
c0001824 C0001824:1
c0040485 C0040485:1
c0557875 C0557875:1
c0357929 C0357929:1
c0018995 C0018995:1
c0003128 C0003128:1
c0231451 C0231451:1
c0001927 C0001927:1
c0003864 C0003864:1
c0010520 C0010520:1
c0015620 C0015620:1
c0042523 C0042523:1
c0014544 C0014544:1
c0007297 C0007297:1
c0043528 C0043528:1
c0025287 C0025287:1
c0000786 C0000786:1
c0014544 C0014544:1
c0031507 C0031507:1
c0000970 C0000970:1
c0019655 C0019655:1
c0025677 C0025677:1
c0070166 C0070166:1
c0004153 C0004153:1
c0920289 C0920289:1
c0022046 C0022046:1
c0021167 C0021167:1
c0079083 C0079083:1
c0209227 C0209227:1
c0289313 C0289313:1
c0233576 C0233576:1
c0027498 C0027498:1
c0159075 C0159075:1
c0001962 C0001962:1
c0024530 C0024530:1
c0011847 C0011847:1
c0086073 C0086073:1
c0020175 C0020175:1
c0017687 C0017687:1
c0081876 C0081876:1
c0014544 C0014544:1
c0043144 C0043144:1
c0040610 C0040610:1
c0033860 C0033860:1
c0030232 C0030232:1
c0016860 C0016860:1
c0003564 C0003564:1
c0159075 C0159075:1
c0025287 C0025287:1
c0013132 C0013132:1
c0003864 C0003864:1
c0149651 C0149651:1
c0011847 C0011847:1
c0042878 C0042878:1
c0033860 C0033860:1
c0239779 C0239779:1
c0060277 C0060277:1
c0025287 C0025287:1
c0020550 C0020550:1
c0011847 C0011847:1
c0019079 C0019079:1
c0007561 C0007561:1
c0076107 C0076107:1
c0025598 C0025598:1
c0006949 C0006949:1
c0017887 C0017887:1
c0021641 C0021641:1
c0206160 C0206160:1
c0006949 C0006949:1
c0016157 C0016157:1
c0016157 C0016157:1
c0019079 C0019079:1
c0026549 C0026549:1
c0002962 C0002962:1
c0007561 C0007561:1
c0021641 C0021641:1
c0004057 C0004057:1
c0233212 C0233212:1
c0008370 C0008370:1
c0026196 C0026196:1
c1883552 C1883552:1
c0016365 C0016365:1
c0008402 C0008402:1
c0702166 C0702166:1
c0001416 C0001416:1
c0232955 C0232955:1
c0012772 C0012772:1
c0027358 C0027358:1
c0023870 C0023870:1
c0004057 C0004057:1
c0017642 C0017642:1
c0008168 C0008168:1
c0019270 C0019270:1
c0023530 C0023530:1
c0012010 C0012010:1
c0019134 C0019134:1
c0025289 C0025289:1
c0029456 C0029456:1
c0087086 C0087086:1
c0246719 C0246719:1
c0022116 C0022116:1
c0087086 C0087086:1
c0036396 C0036396:1
c0025289 C0025289:1
c0040822 C0040822:1
c0019134 C0019134:1
c0021641 C0021641:1
c0038450 C0038450:1
c0054836 C0054836:1
c0021359 C0021359:1
c0031412 C0031412:1
c0001975 C0001975:1
c0023992 C0023992:1
c0006625 C0006625:1
c0085208 C0085208:1
c0036690 C0036690:1
c0019214 C0019214:1
c0497327 C0497327:1
c0023660 C0023660:1
c0013404 C0013404:1
c0025287 C0025287:1
c0232197 C0232197:1
c0007297 C0007297:1
c0149651 C0149651:1
c0000970 C0000970:1
c0040038 C0040038:1
c0020740 C0020740:1
c0017642 C0017642:1
c1698636 C1698636:1
c0070166 C0070166:1
c0042755 C0042755:1
c0947651 C0947651:1
c0032950 C0032950:1
c0006982 C0006982:1
c0036572 C0036572:1
c0030305 C0030305:1
c0001975 C0001975:1
c0036572 C0036572:1
c0014563 C0014563:1
c0002598 C0002598:1
c0079083 C0079083:1
c0006982 C0006982:1
c0009214 C0009214:1
c0995182 C0995182:1
c0021641 C0021641:1
c0021641 C0021641:1
c0032950 C0032950:1
c0013404 C0013404:1
c0070166 C0070166:1
c0286651 C0286651:1
c0009262 C0009262:1
c0220892 C0220892:1
c0018926 C0018926:1
c0018681 C0018681:1
c0018834 C0018834:1
c0015672 C0015672:1
c0039070 C0039070:1
c0036572 C0036572:1
c0001962 C0001962:1
c0060277 C0060277:1
c0040822 C0040822:1
c0085208 C0085208:1
c0028351 C0028351:1
c0032950 C0032950:1
c0036396 C0036396:1
c0152149 C0152149:1
c0995182 C0995182:1
c0298130 C0298130:1
c0024027 C0024027:1
c1883552 C1883552:1
c0016860 C0016860:1
c0014806 C0014806:1
c0020517 C0020517:1
c0022614 C0022614:1
c0022116 C0022116:1
c0032617 C0032617:1
c0040460 C0040460:1
c0038187 C0038187:1
c0014544 C0014544:1
c0085602 C0085602:1
c0038187 C0038187:1
c0717550 C0717550:1
c0039840 C0039840:1
c1883552 C1883552:1
c0019045 C0019045:1
c0025289 C0025289:1
c0060277 C0060277:1
c0332573 C0332573:1
c0020740 C0020740:1
c0020264 C0020264:1
c0011816 C0011816:1
c0001443 C0001443:1
c0032950 C0032950:1
c0007561 C0007561:1
c0026549 C0026549:1
c0015846 C0015846:1
c0854467 C0854467:1
c0019079 C0019079:1
c0018991 C0018991:1
c0086140 C0086140:1
c0033209 C0033209:1
c0002871 C0002871:1
c0152149 C0152149:1
c0026196 C0026196:1
c0000970 C0000970:1
c0013456 C0013456:1
c0717550 C0717550:1
c0011644 C0011644:1
c0001962 C0001962:1
c0004576 C0004576:1
c0023343 C0023343:1
c0034642 C0034642:1
c0014563 C0014563:1
c0002962 C0002962:1
c0018926 C0018926:1
c0026549 C0026549:1
c0232962 C0232962:1
c0009262 C0009262:1
c0026848 C0026848:1
c0023992 C0023992:1
c0008809 C0008809:1
c0536495 C0536495:1
c0162275 C0162275:1
c0017160 C0017160:1
c0005740 C0005740:1
c0007561 C0007561:1
c0007557 C0007557:1
c0023660 C0023660:1
c0023380 C0023380:1
c0018834 C0018834:1
c0032617 C0032617:1
c0286651 C0286651:1
c0037384 C0037384:1
c0016860 C0016860:1
c0008809 C0008809:1
c0025287 C0025287:1
c0013369 C0013369:1
c0065374 C0065374:1
c0018926 C0018926:1
c0751229 C0751229:1
c0234369 C0234369:1
c0023870 C0023870:1
c0021641 C0021641:1
c0242453 C0242453:1
c0036572 C0036572:1
c0392071 C0392071:1
c0033603 C0033603:1
c0034642 C0034642:1
c0030193 C0030193:1
c0026196 C0026196:1
c0013404 C0013404:1
c0376288 C0376288:1
c0286651 C0286651:1
c0013911 C0013911:1
c0878544 C0878544:1
c0027497 C0027497:1
c0858529 C0858529:1
c0021641 C0021641:1
c0043066 C0043066:1
c0149651 C0149651:1
c0060277 C0060277:1
c0006277 C0006277:1
c0076275 C0076275:1
c0043528 C0043528:1
c0298130 C0298130:1
c0042313 C0042313:1
c0011847 C0011847:1
c0004899 C0004899:1
c0025859 C0025859:1
c0003123 C0003123:1
c0011991 C0011991:1
c0039286 C0039286:1
c0024730 C0024730:1
c0553735 C0553735:1
c0016860 C0016860:1
c0060657 C0060657:1
c0019134 C0019134:1
c0242453 C0242453:1
c0004057 C0004057:1
c0018242 C0018242:1
c0004899 C0004899:1
c0018021 C0018021:1
c0039070 C0039070:1
c0037384 C0037384:1
c0043031 C0043031:1
c0032617 C0032617:1
c0035435 C0035435:1
c0102118 C0102118:1
c0029877 C0029877:1
c0003128 C0003128:1
c0073992 C0073992:1
c0019655 C0019655:1
c0039771 C0039771:1
c0043066 C0043066:1
c0025598 C0025598:1
c0011847 C0011847:1
c0162429 C0162429:1
c0014544 C0014544:1
c0016410 C0016410:1
c0005747 C0005747:1
c0011847 C0011847:1
c0002144 C0002144:1
c0081876 C0081876:1
c1883552 C1883552:1
c0017245 C0017245:1
c0040165 C0040165:1
c0221169 C0221169:1
c0002658 C0002658:1
c0012833 C0012833:1
c0040165 C0040165:1
c0003128 C0003128:1
c0042571 C0042571:1
c0002962 C0002962:1
c0376286 C0376286:1
c0020676 C0020676:1
c0221166 C0221166:1
c0995182 C0995182:1
c0016365 C0016365:1
c0004134 C0004134:1
c0102118 C0102118:1
c0159075 C0159075:1
c0009806 C0009806:1
c0286651 C0286651:1
c0030232 C0030232:1
c0028351 C0028351:1
c0011991 C0011991:1
c0032285 C0032285:1
c0025859 C0025859:1
c0027358 C0027358:1
c0012373 C0012373:1
c0026549 C0026549:1
c0003564 C0003564:1
c0006982 C0006982:1
c1883552 C1883552:1
c0018834 C0018834:1
c0038418 C0038418:1
c0288171 C0288171:1
c0004134 C0004134:1
c0027358 C0027358:1
c0000970 C0000970:1
c0270327 C0270327:1
c0018681 C0018681:1
c0018681 C0018681:1
c0289313 C0289313:1
c0858529 C0858529:1
c0231617 C0231617:1
c0061851 C0061851:1
c1510450 C1510450:1
c0027498 C0027498:1
c0019079 C0019079:1
c0014724 C0014724:1
c0076275 C0076275:1
c0020740 C0020740:1
c0021400 C0021400:1
c0018520 C0018520:1
c0019214 C0019214:1
c0037384 C0037384:1
c0008809 C0008809:1
c0018520 C0018520:1
c0002726 C0002726:1
c0070122 C0070122:1
c0060277 C0060277:1
c0003564 C0003564:1
c0003864 C0003864:1
c0042878 C0042878:1
c0040460 C0040460:1
c0020175 C0020175:1
c0020740 C0020740:1
c0032285 C0032285:1
c0025815 C0025815:1
c0012373 C0012373:1
c0024002 C0024002:1
c0025815 C0025815:1
c0009421 C0009421:1
c0032950 C0032950:1
c0011603 C0011603:1
c0016204 C0016204:1
c0006949 C0006949:1
c0885057 C0885057:1
c0917801 C0917801:1
c0032950 C0032950:1
c0020456 C0020456:1
c0017887 C0017887:1
c0232197 C0232197:1
c0043031 C0043031:1
c0246719 C0246719:1
c0032143 C0032143:1
c0015672 C0015672:1
c0009806 C0009806:1
c0009187 C0009187:1
c0231236 C0231236:1
c0025859 C0025859:1
c0072973 C0072973:1
c0007546 C0007546:1
c0007557 C0007557:1
c0000970 C0000970:1
c0043031 C0043031:1
c0013369 C0013369:1
c0019209 C0019209:1
c0020175 C0020175:1
c0073992 C0073992:1
c0025598 C0025598:1
c0025289 C0025289:1
c0032950 C0032950:1
c0286651 C0286651:1
c0009014 C0009014:1
c0017887 C0017887:1
c0005716 C0005716:1
c0061851 C0061851:1
c0074554 C0074554:1
c0008838 C0008838:1
c0039128 C0039128:1
c0220892 C0220892:1
c0025859 C0025859:1
c0220892 C0220892:1
c0020740 C0020740:1
c0010520 C0010520:1
c0020175 C0020175:1
c0246719 C0246719:1
c0086543 C0086543:1
c0332566 C0332566:1
c0003129 C0003129:1
c0013404 C0013404:1
c0019209 C0019209:1
c0003564 C0003564:1
c0018834 C0018834:1
c0031154 C0031154:1
c0036572 C0036572:1
c0030049 C0030049:1
c0009262 C0009262:1
c0051696 C0051696:1
c1282609 C1282609:1
c0033487 C0033487:1
c0037384 C0037384:1
c0752270 C0752270:1
c0010592 C0010592:1
c0005740 C0005740:1
c0279175 C0279175:1
c0152447 C0152447:1
c0040165 C0040165:1
c0001367 C0001367:1
c0025023 C0025023:1
c0043031 C0043031:1
c0040460 C0040460:1
c0037763 C0037763:1
c0027697 C0027697:1
c0027358 C0027358:1
c0025815 C0025815:1
c0027358 C0027358:1
c0152447 C0152447:1
c0060277 C0060277:1
c0030232 C0030232:1
c0025859 C0025859:1
c0025287 C0025287:1
c0076275 C0076275:1
c0012373 C0012373:1
c0026946 C0026946:1
c0016157 C0016157:1
c0003129 C0003129:1
c0858529 C0858529:1
c0005747 C0005747:1
c0009951 C0009951:1
c0002333 C0002333:1
c0076275 C0076275:1
c0076275 C0076275:1
c0242723 C0242723:1
c0074554 C0074554:1
c0221232 C0221232:1
c0004134 C0004134:1
c0086543 C0086543:1
c0002600 C0002600:1
c0009806 C0009806:1
c0016382 C0016382:1
c0027497 C0027497:1
c0012772 C0012772:1
c0038187 C0038187:1
c0025815 C0025815:1
c0003862 C0003862:1
c0002962 C0002962:1
c0074554 C0074554:1
c0038187 C0038187:1
c0009421 C0009421:1
c0003129 C0003129:1
c0022251 C0022251:1
c0040485 C0040485:1
c0019079 C0019079:1
c0002962 C0002962:1
c0557875 C0557875:1
c0497327 C0497327:1
c0085593 C0085593:1
c0231236 C0231236:1
c0032617 C0032617:1
c0018926 C0018926:1
c0001924 C0001924:1
c0018081 C0018081:1
c0231655 C0231655:1
c0024002 C0024002:1
c0037384 C0037384:1
c0038450 C0038450:1
c0015620 C0015620:1
c0013428 C0013428:1
c0213771 C0213771:1
c0451641 C0451641:1
c0043031 C0043031:1
c0018520 C0018520:1
c0033687 C0033687:1
c0011847 C0011847:1
c0357929 C0357929:1
c0025587 C0025587:1
c0009262 C0009262:1
c0003862 C0003862:1
c0874161 C0874161:1
c0007561 C0007561:1
c0010520 C0010520:1
c0039070 C0039070:1
c0017887 C0017887:1
c0023570 C0023570:1
c0003126 C0003126:1
c0276185 C0276185:1
c0040165 C0040165:1
c0013911 C0013911:1
c0031507 C0031507:1
c0006840 C0006840:1
c0034880 C0034880:1
c0001443 C0001443:1
c0000970 C0000970:1
c0025587 C0025587:1
c0040822 C0040822:1
c0037384 C0037384:1
c0010520 C0010520:1
c0040485 C0040485:1
c0027497 C0027497:1
c0392071 C0392071:1
c2004489 C2004489:1
c0036572 C0036572:1
c0020456 C0020456:1
c0013911 C0013911:1
c0020175 C0020175:1
c0060277 C0060277:1
c0018834 C0018834:1
c0213771 C0213771:1
c0032143 C0032143:1
c0037384 C0037384:1
c0220892 C0220892:1
c0025287 C0025287:1
c0017687 C0017687:1
c0042523 C0042523:1
c0004147 C0004147:1
c0020473 C0020473:1
c0038450 C0038450:1
c2004489 C2004489:1
c0948786 C0948786:1
c0033603 C0033603:1
c0016860 C0016860:1
c0043031 C0043031:1
c0030554 C0030554:1
c0021641 C0021641:1
c0006982 C0006982:1
c0995182 C0995182:1
c0025815 C0025815:1
c0152149 C0152149:1
c0751229 C0751229:1
c0162275 C0162275:1
c0004134 C0004134:1
c0000970 C0000970:1
c0025287 C0025287:1
c0085208 C0085208:1
c0022614 C0022614:1
c0020740 C0020740:1
c0074554 C0074554:1
c0001962 C0001962:1
c0242453 C0242453:1
c0995182 C0995182:1
c0116569 C0116569:1
c0006644 C0006644:1
c0947651 C0947651:1
c0001975 C0001975:1
c0032285 C0032285:1
c0234990 C0234990:1
c0233576 C0233576:1
c0004153 C0004153:1
c0085259 C0085259:1
c0076107 C0076107:1
c0026848 C0026848:1
c0008838 C0008838:1
c0002453 C0002453:1
c0043066 C0043066:1
c0002871 C0002871:1
c0037763 C0037763:1
c0042523 C0042523:1
c0005740 C0005740:1
c0025023 C0025023:1
c0006982 C0006982:1
c0004899 C0004899:1
c0073992 C0073992:1
c0002726 C0002726:1
c0014563 C0014563:1
c0034665 C0034665:1
c0752270 C0752270:1
c0022116 C0022116:1
c0027497 C0027497:1
c0032064 C0032064:1
c0001367 C0001367:1
c0023860 C0023860:1
c0246719 C0246719:1
