cui	fword	text	code	sourcetype	tui
C0004454	Armpit	Armpit	34797008	SNOMEDCT	T029
C0004454	Armpit	Armpit	C12674	NCI	T029
C0004454	Armpit	Armpit	422543003	SNOMEDCT	T029
C0004454	Axillary	Axillary fossa	34797008	SNOMEDCT	T029
C0004454	Axillary	Axillary fossa	422543003	SNOMEDCT	T029
C0004454	Axillary	Axillary region	91470000	SNOMEDCT	T029
C0004454	Axilla	Axilla structure	34797008	SNOMEDCT	T029
C0004454	Axillary	Axillary	C13351	NCI	T029
C0004454	Axillary	Axillary	263957003	SNOMEDCT	T029
C0004454	axillary	axillary	C13351	NCI	T029
C0004454	Axilla	Axilla ( body structure )	261056000	SNOMEDCT	T029
C0004454	Axilla	Axilla ( body structure )	364715006	SNOMEDCT	T029
C0004454	Axilla	Axilla structure ( body structure )	34797008	SNOMEDCT	T029
C0004454	Axillary	Axillary region structure ( body structure )	91470000	SNOMEDCT	T029
C0004454	Axillary	Axillary ( qualifier value )	263957003	SNOMEDCT	T029
C0004454	Axillary	Axillary region structure	91470000	SNOMEDCT	T029
C0004454	Underarm	Underarm	C12674	NCI	T029
C0004454	Structure	Structure of axillary fossa ( body structure )	422543003	SNOMEDCT	T029
C0005388	Gallbladder	Gallbladder bile	57259009	SNOMEDCT	T031
C0005388	Bile	Bile	C13192	NCI	T031
C0005388	Bile	Bile	70150004	SNOMEDCT	T031
C0005388	bile	bile	C13192	NCI	T031
C0005388	Bile	Bile , NOS	70150004	SNOMEDCT	T031
C0005388	Gallbladder	Gallbladder bile ( substance )	57259009	SNOMEDCT	T031
C0005388	Bile	Bile ( substance )	70150004	SNOMEDCT	T031
C0005388	Bile	Bile Juice	C13192	NCI	T031
C0005400	Bile	Bile duct structure	28273000	SNOMEDCT	T023
C0005400	Bile	Bile duct	28273000	SNOMEDCT	T023
C0005400	Bile	Bile Duct	C12376	NCI	T023
C0005400	bile	bile duct	C12376	NCI	T023
C0005400	Bile	Bile duct , NOS	28273000	SNOMEDCT	T023
C0005400	Bile	Bile duct structure ( body structure )	28273000	SNOMEDCT	T023
C0007301	Cartilaginous	Cartilaginous tissue structure	61496007	SNOMEDCT	T024
C0007301	Cartilage	Cartilage	C12373	NCI	T024
C0007301	Cartilage	Cartilage	61496007	SNOMEDCT	T024
C0007301	cartilage	cartilage	C12373	NCI	T024
C0007301	Cartilage	Cartilage , NOS	61496007	SNOMEDCT	T024
C0007301	Cartilaginous	Cartilaginous tissue	61496007	SNOMEDCT	T024
C0007301	Cartilaginous	Cartilaginous Tissue	C32268	NCI	T024
C0007301	Cartilaginous	Cartilaginous tissue , NOS	61496007	SNOMEDCT	T024
C0007301	Cartilagenous	Cartilagenous	C12373	NCI	T024
C0007301	Cartilage	Cartilage tissue	309312004	SNOMEDCT	T024
C0007301	Cartilage	Cartilage tissue ( body structure )	309312004	SNOMEDCT	T024
C0007301	Cartilaginous	Cartilaginous tissue structure ( body structure )	61496007	SNOMEDCT	T024
C0008320	Excision	Excision of gallbladder NOS	174500005	SNOMEDCT	T061
C0008320	Excision	Excision of gallbladder	38102005	SNOMEDCT	T061
C0008320	Gallbladder	Gallbladder excision	119917005	SNOMEDCT	T061
C0008320	Gallbladder	Gallbladder excision	119917005	SNOMEDCT	T061
C0008320	Gallbladder	Gallbladder excision	38102005	SNOMEDCT	T061
C0008320	Cholecystectomy	Cholecystectomy	C51676	NCI	T061
C0008320	Cholecystectomy	Cholecystectomy	149492003	SNOMEDCT	T061
C0008320	Cholecystectomy	Cholecystectomy	149492003	SNOMEDCT	T061
C0008320	Cholecystectomy	Cholecystectomy	51.2	ICD9CM	T061
C0008320	Cholecystectomy	Cholecystectomy	51.22	ICD9CM	T061
C0008320	Cholecystectomy	Cholecystectomy	38102005	SNOMEDCT	T061
C0008320	CHOLECYSTECTOMY	CHOLECYSTECTOMY	51.22	ICD9CM	T061
C0008320	Removal	Removal of gallbladder	38102005	SNOMEDCT	T061
C0008320	Cholecystectomy	Cholecystectomy ( procedure )	149492003	SNOMEDCT	T061
C0008320	Cholecystectomy	Cholecystectomy ( procedure )	38102005	SNOMEDCT	T061
C0008320	Excision	Excision of gallbladder NOS ( procedure )	174500005	SNOMEDCT	T061
C0008913	Bone	Bone structure of clavicle	51299004	SNOMEDCT	T023
C0008913	Clavicle	Clavicle	C12695	NCI	T023
C0008913	Clavicle	Clavicle	51299004	SNOMEDCT	T023
C0008913	clavicle	clavicle	C12695	NCI	T023
C0008913	Clavicle	Clavicle , NOS	51299004	SNOMEDCT	T023
C0008913	Collar	Collar bone	51299004	SNOMEDCT	T023
C0008913	Collar	Collar Bone	C12695	NCI	T023
C0008913	Bone	Bone structure of clavicle ( body structure )	51299004	SNOMEDCT	T023
C0009194	Bone	Bone structure of coccyx	64688005	SNOMEDCT	T023
C0009194	Coccyx	Coccyx	C12696	NCI	T023
C0009194	Coccyx	Coccyx	64688005	SNOMEDCT	T023
C0009194	Coccyx	Coccyx , NOS	64688005	SNOMEDCT	T023
C0009194	Os	Os coccyx	64688005	SNOMEDCT	T023
C0009194	Bone	Bone structure of coccyx ( body structure )	64688005	SNOMEDCT	T023
C0010709	Cyst	Cyst	264515009	SNOMEDCT	T190
C0010709	Cyst	Cyst	12494005	SNOMEDCT	T190
C0010709	Cyst	Cyst	133846001	SNOMEDCT	T190
C0010709	Cyst	Cyst	C2978	NCI	T190
C0010709	Cyst	Cyst	367643001	SNOMEDCT	T190
C0010709	cyst	cyst	C2978	NCI	T190
C0010709	Cyst	Cyst , NOS	12494005	SNOMEDCT	T190
C0010709	Cystic	Cystic	C2978	NCI	T190
C0010709	Cyst	Cyst ( morphologic abnormality ) [ Ambiguous ]	12494005	SNOMEDCT	T190
C0010709	Cyst	Cyst ( morphologic abnormality )	12494005	SNOMEDCT	T190
C0010709	Cyst	Cyst ( morphologic abnormality )	133846001	SNOMEDCT	T190
C0010709	Cyst	Cyst ( morphologic abnormality )	367643001	SNOMEDCT	T190
C0010709	Cyst	Cyst - morphology	264515009	SNOMEDCT	T190
C0010709	Cyst	Cyst - RETIRED -	12494005	SNOMEDCT	T190
C0011164	Degenerative	Degenerative abnormality	107669003	SNOMEDCT	T046
C0011164	Degeneration	Degeneration	33359002	SNOMEDCT	T046
C0011164	Degeneration	Degeneration , NOS	33359002	SNOMEDCT	T046
C0011164	Degenerative	Degenerative change	33359002	SNOMEDCT	T046
C0011164	Degenerative	Degenerative abnormality ( morphologic abnormality )	107669003	SNOMEDCT	T046
C0011164	Degeneration	Degeneration ( morphologic abnormality )	33359002	SNOMEDCT	T046
C0011164	Tissue	Tissue Degeneration	C50774	NCI	T046
C0012634	Disease	Disease	C2991	NCI	T047
C0012634	Disease	Disease	64572001	SNOMEDCT	T047
C0012634	Diseases	Diseases	C2991	NCI	T047
C0012634	Diseases	Diseases	64572001	SNOMEDCT	T047
C0012634	Disease	Disease , NOS	64572001	SNOMEDCT	T047
C0012634	Disease	Disease ( disorder )	64572001	SNOMEDCT	T047
C0012634	Diseases	Diseases and Disorders	C2991	NCI	T047
C0012634	Clinical	Clinical disease AND / OR syndrome present	64572001	SNOMEDCT	T047
C0012634	Clinical	Clinical disease or syndrome present , NOS	64572001	SNOMEDCT	T047
C0012634	Clinical	Clinical disease AND / OR syndrome	64572001	SNOMEDCT	T047
C0012634	Clinical	Clinical disease or syndrome , NOS	64572001	SNOMEDCT	T047
C0012634	Disease	Disease AND / OR syndrome present	64572001	SNOMEDCT	T047
C0012634	Disease	Disease or syndrome present , NOS	64572001	SNOMEDCT	T047
C0012634	Disorder	Disorder	C2991	NCI	T047
C0012634	Disorder	Disorder	64572001	SNOMEDCT	T047
C0012634	Disorders	Disorders	C2991	NCI	T047
C0012634	Disorders	Disorders	64572001	SNOMEDCT	T047
C0012634	Disorder	Disorder , NOS	64572001	SNOMEDCT	T047
C0012634	Disease	Disease or Disorder	C2991	NCI	T047
C0012691	Dislocation	Dislocation of joint	108367008	SNOMEDCT	T037
C0012691	Joint	Joint Dislocation	C26750	NCI	T037
C0012691	Joint	Joint Dislocation	C26750	NCI	T037
C0012691	Dislocation	Dislocation	C35724	NCI	T037
C0012691	Dislocation	Dislocation	87642003	SNOMEDCT	T037
C0012691	DISLOCATION	DISLOCATION	830-839.99	ICD9CM	T037
C0012691	Dislocations	Dislocations	157257005	SNOMEDCT	T037
C0012691	Dislocations	Dislocations	269324003	SNOMEDCT	T037
C0012691	Dislocation	Dislocation , NOS	87642003	SNOMEDCT	T037
C0012691	Dislocated	Dislocated joint	C26750	NCI	T037
C0012691	Dislocated	Dislocated joint	108367008	SNOMEDCT	T037
C0012691	Dislocation	Dislocation ( morphologic abnormality )	87642003	SNOMEDCT	T037
C0012691	Dislocation	Dislocation of joint ( disorder )	108367008	SNOMEDCT	T037
C0013687	Effusion	Effusion	C3003	NCI	T046
C0013687	Effusion	Effusion	41699000	SNOMEDCT	T046
C0013687	Effusion	Effusion , NOS	41699000	SNOMEDCT	T046
C0013687	Free	Free fluid	41699000	SNOMEDCT	T046
C0013687	Free	Free fluid , NOS	41699000	SNOMEDCT	T046
C0013687	Effusion	Effusion ( morphologic abnormality )	41699000	SNOMEDCT	T046
C0015811	Structure	Structure of femur	421235005	SNOMEDCT	T023
C0015811	Femur	Femur	C12717	NCI	T023
C0015811	Femur	Femur	71341001	SNOMEDCT	T023
C0015811	Femur	Femur , NOS	71341001	SNOMEDCT	T023
C0015811	Bone	Bone structure of femur	71341001	SNOMEDCT	T023
C0015811	Femoral	Femoral	C12717	NCI	T023
C0015811	Femoral	Femoral	261080001	SNOMEDCT	T023
C0015811	Bone	Bone structure of femur ( body structure )	71341001	SNOMEDCT	T023
C0015811	Femoral	Femoral ( qualifier value )	261080001	SNOMEDCT	T023
C0015811	Structure	Structure of femur ( body structure )	421235005	SNOMEDCT	T023
C0016169	Sinus	Sinus	419351001	SNOMEDCT	T190
C0016169	Fistula	Fistula	C3045	NCI	T190
C0016169	Fistula	Fistula	428794004	SNOMEDCT	T190
C0016169	Fistula	Fistula	C3045	NCI	T190
C0016169	Fistula	Fistula	118622000	SNOMEDCT	T190
C0016169	Fistula	Fistula , NOS	51711001	SNOMEDCT	T190
C0016169	Abnormal	Abnormal sinus tract	118622000	SNOMEDCT	T190
C0016169	Abnormal	Abnormal sinus tract , NOS	51711001	SNOMEDCT	T190
C0016169	Fistulous	Fistulous tract	118622000	SNOMEDCT	T190
C0016169	Fistulous	Fistulous tract , NOS	51711001	SNOMEDCT	T190
C0016169	Fistula	Fistula ( morphologic abnormality )	118622000	SNOMEDCT	T190
C0016169	Unspecified	Unspecified fistula	361676009	SNOMEDCT	T190
C0016169	Unspecified	Unspecified fistula	361676009	SNOMEDCT	T190
C0016169	Sinus	Sinus ( morphologic abnormality )	419351001	SNOMEDCT	T190
C0016169	Fistula	Fistula ( disorder )	428794004	SNOMEDCT	T190
C0016169	Unspecified	Unspecified fistula ( disorder )	361676009	SNOMEDCT	T190
C0016504	Foot	Foot structure	56459004	SNOMEDCT	T023
C0016504	Foot	Foot	C32622	NCI	T023
C0016504	Foot	Foot	56459004	SNOMEDCT	T023
C0016504	Foot	Foot , NOS	56459004	SNOMEDCT	T023
C0016504	Foot	Foot structure ( body structure )	56459004	SNOMEDCT	T023
C0016658	Fracture	Fracture	125605004	SNOMEDCT	T037
C0016658	Fracture	Fracture	157169007	SNOMEDCT	T037
C0016658	Fracture	Fracture	157169007	SNOMEDCT	T037
C0016658	Fracture	Fracture	C3046	NCI	T037
C0016658	Fracture	Fracture	72704001	SNOMEDCT	T037
C0016658	FRACTURES	FRACTURES	800-829.99	ICD9CM	T037
C0016658	Fracture	Fracture NOS	208739000	SNOMEDCT	T037
C0016658	Fracture	Fracture NOS	157255002	SNOMEDCT	T037
C0016658	Fracture	Fracture NOS	157255002	SNOMEDCT	T037
C0016658	Fracture	Fracture NOS	269323009	SNOMEDCT	T037
C0016658	Fracture	Fracture , NOS	72704001	SNOMEDCT	T037
C0016658	Fracture	Fracture ( s )	C3046	NCI	T037
C0016658	Fracture	Fracture of unspecified bones	208739000	SNOMEDCT	T037
C0016658	Fracture	Fracture of unspecified bones	829	ICD9CM	T037
C0016658	Fracture	Fracture of unspecified bones	269102008	SNOMEDCT	T037
C0016658	FRACTURE	FRACTURE , CAUSE NOS	E887	ICD9CM	T037
C0016658	Fracture	Fracture of bone	125605004	SNOMEDCT	T037
C0016658	Fracture	Fracture of bones NOS	208744007	SNOMEDCT	T037
C0016658	Fracture	Fracture , cause unspecified	E887	ICD9CM	T037
C0016658	Fracture	Fracture , cause unspecified	217171007	SNOMEDCT	T037
C0016658	Broken	Broken bone	125605004	SNOMEDCT	T037
C0016658	Fracture	Fracture - lesion	307182008	SNOMEDCT	T037
C0016658	Fracture	Fracture - lesion	367344001	SNOMEDCT	T037
C0016658	Fracture	Fracture - lesion	307182008	SNOMEDCT	T037
C0016658	Fracture	Fracture - lesion	367344001	SNOMEDCT	T037
C0016658	Fracture	Fracture ( morphologic abnormality )	72704001	SNOMEDCT	T037
C0016658	Fracture	Fracture of bones NOS ( disorder )	208744007	SNOMEDCT	T037
C0016658	Fracture	Fracture of bone ( disorder )	125605004	SNOMEDCT	T037
C0016658	Fracture	Fracture of unspecified bones ( disorder )	269102008	SNOMEDCT	T037
C0016658	Fracture	Fracture : [ of unspecified bones ] or [ NOS ]	208739000	SNOMEDCT	T037
C0016658	Fracture	Fracture : [ of unspecified bones ] or [ NOS ]	208739000	SNOMEDCT	T037
C0016658	Fracture	Fracture , cause unspecified ( finding )	217171007	SNOMEDCT	T037
C0016658	Fracture	Fracture NOS ( disorder )	157255002	SNOMEDCT	T037
C0016658	Fracture	Fracture NOS ( disorder )	269323009	SNOMEDCT	T037
C0016658	Fracture	Fracture ( disorder )	157169007	SNOMEDCT	T037
C0016658	Fracture	Fracture , cause unspecified ( disorder )	217171007	SNOMEDCT	T037
C0016658	Fracture	Fracture - lesion ( disorder )	367344001	SNOMEDCT	T037
C0016658	Fracture	Fracture : [ of unspecified bones ] or [ NOS ] ( disorder )	208739000	SNOMEDCT	T037
C0016658	Fracture	Fracture - lesion ( morphologic abnormality )	307182008	SNOMEDCT	T037
C0016734	Frontal	Frontal sinus structure	55060009	SNOMEDCT	T030
C0016734	Frontal	Frontal sinus	55060009	SNOMEDCT	T030
C0016734	Sinus	Sinus , Frontal	C12277	NCI	T030
C0016734	Frontal	Frontal Sinus	C12277	NCI	T030
C0016734	Frontal	Frontal sinus , NOS	55060009	SNOMEDCT	T030
C0016734	Frontal	Frontal sinus structure ( body structure )	55060009	SNOMEDCT	T030
C0018563	Hand	Hand structure	85562004	SNOMEDCT	T023
C0018563	Hand	Hand	C32712	NCI	T023
C0018563	Hand	Hand	85562004	SNOMEDCT	T023
C0018563	Hand	Hand , NOS	85562004	SNOMEDCT	T023
C0018563	Hand	Hand structure ( body structure )	85562004	SNOMEDCT	T023
C0018670	Head	Head structure	69536005	SNOMEDCT	T029
C0018670	Head	Head	C12419	NCI	T029
C0018670	Head	Head	69536005	SNOMEDCT	T029
C0018670	Head	Head , NOS	69536005	SNOMEDCT	T029
C0018670	Head	Head structure ( body structure )	69536005	SNOMEDCT	T029
C0018787	Heart	Heart structure	80891009	SNOMEDCT	T023
C0018787	Heart	Heart	C12727	NCI	T023
C0018787	Heart	Heart	80891009	SNOMEDCT	T023
C0018787	Heart	Heart , NOS	80891009	SNOMEDCT	T023
C0018787	Cardiac	Cardiac	C12727	NCI	T023
C0018787	Cardiac	Cardiac structure	128427003	SNOMEDCT	T023
C0018787	Cardiac	Cardiac structure	80891009	SNOMEDCT	T023
C0018787	Cardiac	Cardiac structure ( body structure )	128427003	SNOMEDCT	T023
C0018787	Heart	Heart structure ( body structure )	80891009	SNOMEDCT	T023
C0018801	Heart	Heart failure	155374007	SNOMEDCT	T047
C0018801	Heart	Heart failure	155374007	SNOMEDCT	T047
C0018801	Heart	Heart failure	428	ICD9CM	T047
C0018801	Heart	Heart failure	84114007	SNOMEDCT	T047
C0018801	Failure	Failure , Heart	C50577	NCI	T047
C0018801	Heart	Heart Failure	C50577	NCI	T047
C0018801	Heart	Heart Failure	C50577	NCI	T047
C0018801	Heart	Heart failure , NOS	84114007	SNOMEDCT	T047
C0018801	Heart	Heart failure NOS	195117009	SNOMEDCT	T047
C0018801	Heart	Heart failure NOS	155377000	SNOMEDCT	T047
C0018801	Heart	Heart failure NOS	155377000	SNOMEDCT	T047
C0018801	Heart	Heart failure NOS	428.9	MTHICD9	T047
C0018801	Heart	Heart failure NOS	266248006	SNOMEDCT	T047
C0018801	HEART	HEART FAILURE NOS	428.9	ICD9CM	T047
C0018801	Cardiac	Cardiac failure	84114007	SNOMEDCT	T047
C0018801	Cardiac	Cardiac failure , NOS	84114007	SNOMEDCT	T047
C0018801	Cardiac	Cardiac failure NOS	195117009	SNOMEDCT	T047
C0018801	Cardiac	Cardiac failure NOS	428.9	MTHICD9	T047
C0018801	Cardiac	Cardiac Insufficiency	C50577	NCI	T047
C0018801	Insufficiency	Insufficiency , cardiac	C50577	NCI	T047
C0018801	Insufficiency	Insufficiency - cardiac	155375008	SNOMEDCT	T047
C0018801	Insufficiency	Insufficiency - cardiac	266308000	SNOMEDCT	T047
C0018801	Weak	Weak heart	195117009	SNOMEDCT	T047
C0018801	Weak	Weak heart	428.9	MTHICD9	T047
C0018801	Weak	Weak heart	84114007	SNOMEDCT	T047
C0018801	Weak	Weak heart , NOS	84114007	SNOMEDCT	T047
C0018801	Heart	Heart failure , unspecified	428.9	ICD9CM	T047
C0018801	HF	HF - Heart failure	84114007	SNOMEDCT	T047
C0018801	Heart	Heart failure NOS ( disorder )	155377000	SNOMEDCT	T047
C0018801	Heart	Heart failure NOS ( disorder )	266248006	SNOMEDCT	T047
C0018801	Heart	Heart failure ( disorder )	155374007	SNOMEDCT	T047
C0018801	Heart	Heart failure ( disorder )	84114007	SNOMEDCT	T047
C0018801	Heart	Heart : [ weak ] or [ failure NOS ]	195117009	SNOMEDCT	T047
C0018801	Heart	Heart : [ weak ] or [ failure NOS ]	195117009	SNOMEDCT	T047
C0018801	Heart	Heart : [ weak ] or [ failure NOS ] ( disorder )	195117009	SNOMEDCT	T047
C0018802	Congestive	Congestive heart failure	195108009	SNOMEDCT	T047
C0018802	Congestive	Congestive heart failure	42343007	SNOMEDCT	T047
C0018802	Heart	Heart failure , congestive	C3080	NCI	T047
C0018802	Failure	Failure , congestive heart	C3080	NCI	T047
C0018802	Congestive	Congestive Heart Failure	C3080	NCI	T047
C0018802	Congestive	Congestive Heart Failure	C3080	NCI	T047
