"cg","con","Concept.1","Concept.2","LCH","INTRINSIC_LCH","INTRINSIC_LIN","PATH","INTRINSIC_PATH","WUPALMER","lcs.s.","corpus.lcs","intrinsic.lcs","paths"
"sct-umls","UMNSRS_similarity","C0025605","C0040610",0.57826,0.446168,0.654615,0.166667,0.079944,0.761905,"C0002771|C0013227",NA,"C0002771","C0002771=C0025605->C0360472->C0242402->*C0002771*<-C0040610<-C0242937|C0013227=C0025605->C1629845->*C0013227*<-C0040610<-C0242937<-C0002771"
"sct-umls","UMNSRS_similarity","C0011847","C0033860",0,0.38543,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0948786","C0030232",0,0.359058,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0232471","C0016860",0,0.365731,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0031763","C0003564",0,0.366697,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0032617","C0159075",0.621175,0.453564,0.684474,0.2,0.082687,0.714286,"C0426391",NA,"C0426391","C0426391=C0032617->C0577197->*C0426391*<-C0159075<-C0235639"
"sct-umls","UMNSRS_similarity","C0033860","C0025287",0.458023,0.291269,0.262087,0.1,0.039438,0.470588,"C1290906|C0037088",NA,"C1290906","C0037088=C0033860->C1960691->C1960690->C1719883->C0012634->*C0037088*<-C0025287<-C0576482<-C0422878<-C1290906|C1290906=C0033860->C1302732->C0475811->C0037274->C0455205->C1291044->*C1290906*<-C0025287<-C0576482<-C0422878"
"sct-umls","UMNSRS_similarity","C0042755","C0013132",0.43559,0.262764,0.18288,0.090909,0.034629,0.375,"C0037088",NA,"C0037088","C0037088=C0042755->C1626920->C0427350->*C0037088*<-C0013132<-C0576989<-C0426533<-C1827135<-C0426480<-C0426573<-C1290906"
"sct-umls","UMNSRS_similarity","C0009421","C0019158",0.57826,0.336729,0.364755,0.166667,0.048526,0.705882,"C1285159",NA,"C1285159","C1285159=C0009421->C0027765->*C1285159*<-C0019158<-C1298758<-C1285333"
"sct-umls","UMNSRS_similarity","C0917801","C0085631",0.43559,0.316564,0.348885,0.090909,0.044261,0.444444,"C0427350",NA,"C0427350","C0427350=C0917801->C0700201->C0851578->C1291739->C0424449->*C0427350*<-C0085631<-C0474395<-C0474393<-C0004927<-C0574125"
"sct-umls","UMNSRS_similarity","C0442874","C0025598",0.396269,0.280916,0.072747,0.076923,0.037619,0.25,"C2720507",NA,"C2720507","C2720507=C0442874->C0027765->C1285159->C1290853->C0012634->C0037088->*C2720507*<-C0025598<-C1627747<-C0359086<-C0020616<-C0935929<-C0013227"
"sct-umls","UMNSRS_similarity","C0033860","C0003864",0.482823,0.331788,0.294798,0.111111,0.047445,0.5,"C0012634",NA,"C0012634","C0012634=C0033860->C1960691->C1960690->C1719883->*C0012634*<-C0003864<-C1285331<-C1285332<-C1290884"
"sct-umls","UMNSRS_similarity","C0041296","C0149651",0.458023,0.24883,0.063155,0.1,0.032496,0.307692,"C2720507",NA,"C2720507","C2720507=C0041296->C0456953->C0282354->C1285164->*C2720507*<-C0149651<-C1265981<-C0332447<-C1260954<-C1268086"
"sct-umls","UMNSRS_similarity","C0028754","C0011847",0,0.382893,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0040038","C0019079",0.57826,0.335518,0.422426,0.166667,0.048259,0.705882,"C0333010",NA,"C0333010","C0333010=C0040038->C1704212->*C0333010*<-C0019079<-C0235560<-C0019080"
"sct-umls","UMNSRS_similarity","C0032285","C0007561",0.378825,0.249764,0.063416,0.071429,0.032635,0.235294,"C2720507",NA,"C2720507","C2720507=C0032285->C1285331->C1285332->C1290884->C0012634->C0037088->*C2720507*<-C0007561<-C0304320<-C2266959<-C0026458<-C0279516<-C0003204<-C0013227"
"sct-umls","UMNSRS_similarity","C0114873","C0076107",0.741411,0.674699,0.900559,0.333333,0.226745,0.923077,"C0304512",NA,"C0304512","C0304512=C0114873->*C0304512*<-C0076107"
"sct-umls","UMNSRS_similarity","C0086543","C0025598",0.415109,0.243443,0.06167,0.083333,0.031708,0.266667,"C2720507",NA,"C2720507","C2720507=C0086543->C0154777->C1285162->C0012634->C0037088->*C2720507*<-C0025598<-C1627747<-C0359086<-C0020616<-C0935929<-C0013227"
"sct-umls","UMNSRS_similarity","C1623038","C0301532",0,0.365664,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0036572","C0006949",0.482823,0.263234,0.067299,0.111111,0.034703,0.333333,"C2720507",NA,"C2720507","C2720507=C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0006949<-C0003286<-C0007680<-C0013227"
"sct-umls","UMNSRS_similarity","C0086543","C0021641",0.482823,0.245106,0.062124,0.111111,0.031949,0.333333,"C2720507",NA,"C2720507","C2720507=C0086543->C0154777->C1285162->C0012634->C0037088->*C2720507*<-C0021641<-C0935929<-C0013227"
"sct-umls","UMNSRS_similarity","C0002871","C0206160",0.482823,0.299664,0.21048,0.111111,0.040977,0.428571,"C0037088",NA,"C0037088","C0037088=C0002871->C0221016->C1533163->C0012634->*C0037088*<-C0206160<-C0580380<-C1292123<-C2711906"
"sct-umls","UMNSRS_similarity","C0009951","C0006949",0,0.367467,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0029456","C0032950",0.415109,0.244813,0.062044,0.083333,0.031906,0.266667,"C2720507",NA,"C2720507","C2720507=C0029456->C0005940->C0427191->C0426779->C1290906->C0037088->*C2720507*<-C0032950<-C0017710<-C0001617<-C0360511<-C0013227"
"sct-umls","UMNSRS_similarity","C0036572","C0031507",0.458023,0.262597,0.067111,0.1,0.034603,0.307692,"C2720507",NA,"C2720507","C2720507=C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0031507<-C0020208<-C0003286<-C0007680<-C0013227"
"sct-umls","UMNSRS_similarity","C0885057","C0016157",0.482823,0.311885,0.369688,0.111111,0.043327,0.636364,"C0013227",NA,"C0013227","C0013227=C0885057->C1445146->C1445102->C0440016->*C0013227*<-C0016157<-C0354657<-C0003367<-C0007220"
"sct-umls","UMNSRS_similarity","C0242339","C0016157",0.43559,0.226812,0.057294,0.090909,0.029391,0.285714,"C2720507",NA,"C2720507","C2720507=C0242339->C0268195->C0025517->C0012634->C0037088->*C2720507*<-C0016157<-C0354657<-C0003367<-C0007220<-C0013227"
"sct-umls","UMNSRS_similarity","C0232197","C0002962",0.621175,0.457137,0.677703,0.2,0.084046,0.833333,"C0018799",NA,"C0018799","C0018799=C0232197->C0264886->*C0018799*<-C0002962<-C0151744"
"sct-umls","UMNSRS_similarity","C0007557","C0007561",0.621175,0.609087,0.857489,0.2,0.168093,0.857143,"C2266959",NA,"C2266959","C2266959=C0007557->C0304319->*C2266959*<-C0007561<-C0304320"
"sct-umls","UMNSRS_similarity","C0011053","C0004134",0,0.376392,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0220892","C0007546",0,0.361539,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0011847","C0021641",0,0.375503,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0018995","C0003126",0.43559,0.259356,0.180486,0.090909,0.034095,0.375,"C0037088",NA,"C0037088","C0037088=C0018995->C0282193->C0012715->C0154260->C0025517->C0012634->*C0037088*<-C0003126<-C0576646<-C1291731<-C0422837"
"sct-umls","UMNSRS_similarity","C0022116","C0152149",0.541977,0.283363,0.254896,0.142857,0.038041,0.571429,"C1290906",NA,"C1290906","C1290906=C0022116->C1276288->C0425560->*C1290906*<-C0152149<-C0567248<-C1320355"
"sct-umls","UMNSRS_similarity","C0030232","C0004057",0.43559,0.236773,0.059877,0.090909,0.030757,0.285714,"C2720507",NA,"C2720507","C2720507=C0030232->C0678215->C1287497->C0424449->C0427350->C0037088->*C2720507*<-C0004057<-C0085826<-C0018938<-C0013227"
"sct-umls","UMNSRS_similarity","C0013456","C0233212",0.43559,0.256645,0.178601,0.090909,0.033676,0.375,"C0037088",NA,"C0037088","C0037088=C0013456->C0578044->C0423477->C0455931->C1290906->*C0037088*<-C0233212<-C0233179<-C0559565<-C0425961<-C0427350"
"sct-umls","UMNSRS_similarity","C0019340","C0008370",0,0.369607,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0242339","C0008402",0.43559,0.226236,0.057148,0.090909,0.029314,0.285714,"C2720507",NA,"C2720507","C2720507=C0242339->C0268195->C0025517->C0012634->C0037088->*C2720507*<-C0008402<-C0032604<-C1689977<-C0520510<-C0439861"
"sct-umls","UMNSRS_similarity","C0034494","C0702166",0.458023,0.321845,0.348413,0.1,0.045341,0.571429,"C1290853|C1285159",NA,"C1285159","C1285159=C0034494->C0348165->C0007684->C0007682->C0027765->*C1285159*<-C0702166<-C0036502<-C0037272<-C1290011|C1290853=C0034494->C0348165->C0729529->C0578491->*C1290853*<-C0702166<-C0036502<-C0037272<-C1290011<-C1285159"
"sct-umls","UMNSRS_similarity","C0032064","C0001416",0,0.366058,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0159075","C0232955",0.458023,0.254518,0.177133,0.1,0.033351,0.4,"C0037088",NA,"C0037088","C0037088=C0159075->C0235639->C0426391->C2711906->*C0037088*<-C0232955<-C0232950<-C0025345<-C1263764<-C0012634"
"sct-umls","UMNSRS_similarity","C0001975","C0012772",0.57826,0.386649,0.483011,0.166667,0.060936,0.736842,"C1320237",NA,"C1320237","C1320237=C0001975->*C1320237*<-C0012772<-C1627760<-C0038776<-C0300973"
"sct-umls","UMNSRS_similarity","C0009214","C0027358",0.541977,0.32915,0.389104,0.142857,0.046877,0.7,"C0013227",NA,"C0013227","C0013227=C0009214->C0031368->C0376196->C0007680->*C0013227*<-C0027358<-C1629845"
"sct-umls","UMNSRS_similarity","C0043031","C0004057",0.621175,0.346632,0.435046,0.2,0.050769,0.777778,"C1320237",NA,"C1320237","C1320237=C0043031->C0010206->*C1320237*<-C0004057<-C0036075"
"sct-umls","UMNSRS_similarity","C0042313","C0017642",0.541977,0.434617,0.647113,0.142857,0.075841,0.769231,"C0279516",NA,"C0279516","C0279516=C0042313->C0162724->*C0279516*<-C0017642<-C0038766<-C0038761<-C0360390"
"sct-umls","UMNSRS_similarity","C0009187","C0025289",0.482823,0.318833,0.282084,0.111111,0.044722,0.5,"C0012634",NA,"C0012634","C0012634=C0009187->C0033740->C0030499->C0009450->*C0012634*<-C0025289<-C1285331<-C1285332<-C1290884"
"sct-umls","UMNSRS_similarity","C0030232","C0043031",0.43559,0.228311,0.057675,0.090909,0.029593,0.285714,"C2720507",NA,"C2720507","C2720507=C0030232->C0678215->C1287497->C0424449->C0427350->C0037088->*C2720507*<-C0043031<-C0035805<-C0031253<-C0013227"
"sct-umls","UMNSRS_similarity","C0002940","C0029456",0.541977,0.34434,0.373259,0.142857,0.05024,0.666667,"C1285159",NA,"C1285159","C1285159=C0002940->C0007222->*C1285159*<-C0029456<-C0005940<-C0263661<-C0026857"
"sct-umls","UMNSRS_similarity","C0022116","C0025859",0.43559,0.238208,0.060258,0.090909,0.030959,0.285714,"C2720507",NA,"C2720507","C2720507=C0022116->C1276288->C0425560->C1290906->C0037088->*C2720507*<-C0025859<-C0304516<-C0001645<-C0004382<-C0013227"
"sct-umls","UMNSRS_similarity","C0016204","C0017687",0.458023,0.228525,0.05773,0.1,0.029622,0.307692,"C2720507",NA,"C2720507","C2720507=C0016204->C0476288->C1689949->C0037088->*C2720507*<-C0017687<-C0030292<-C0019928<-C0360511<-C0013227"
"sct-umls","UMNSRS_similarity","C0007546","C0007716",0.741411,0.789918,0.95344,0.333333,0.383531,0.928571,"C0304317",NA,"C0304317","C0304317=C0007546->*C0304317*<-C0007716"
"sct-umls","UMNSRS_similarity","C0029456","C0087086",0.396269,0.25646,0.065319,0.076923,0.033647,0.25,"C2720507",NA,"C2720507","C2720507=C0029456->C0005940->C0427191->C0426779->C1290906->C0037088->*C2720507*<-C0087086<-C0302148<-C0333010<-C0332447<-C1260954<-C1268086"
"sct-umls","UMNSRS_similarity","C0014038","C0025289",0.741411,0.657497,0.875358,0.333333,0.209632,0.9,"C0178264|C1285331",NA,"C0178264","C0178264=C0014038->*C0178264*<-C0025289|C1285331=C0014038->*C1285331*<-C0025289"
"sct-umls","UMNSRS_similarity","C0684275","C0040038",0.482823,0.297569,0.262026,0.111111,0.040588,0.5,"C0012634",NA,"C0012634","C0012634=C0684275->C0272315->C0005779->*C0012634*<-C0040038<-C2586211<-C0042373<-C0263978<-C1290853"
"sct-umls","UMNSRS_similarity","C0003864","C0003862",0.621175,0.451244,0.605628,0.2,0.081817,0.75,"C0427210",NA,"C0427210","C0427210=C0003864->C0574941->*C0427210*<-C0003862<-C0575027"
"sct-umls","UMNSRS_similarity","C0152447","C0040822",0.43559,0.275255,0.191875,0.090909,0.03666,0.375,"C0037088",NA,"C0037088","C0037088=C0152447->C0426398->C1291662->C0577118->C0579140->C0578533->C1290906->*C0037088*<-C0040822<-C0427086<-C1689949"
"sct-umls","UMNSRS_similarity","C0003128","C0079083",0.43559,0.22703,0.057349,0.090909,0.02942,0.285714,"C2720507",NA,"C2720507","C2720507=C0003128->C1291681->C1291680->C0574125->C0427350->C0037088->*C2720507*<-C0079083<-C1443631<-C0003392<-C0013227"
"sct-umls","UMNSRS_similarity","C0001924","C0019134",0.741411,0.344529,0.432563,0.333333,0.050284,0.875,"C1320237",NA,"C1320237","C1320237=C0001924->*C1320237*<-C0019134"
"sct-umls","UMNSRS_similarity","C0032617","C0021641",0.510546,0.234794,0.059355,0.125,0.030481,0.363636,"C2720507",NA,"C2720507","C2720507=C0032617->C0025517->C0012634->C0037088->*C2720507*<-C0021641<-C0935929<-C0013227"
"sct-umls","UMNSRS_similarity","C0037384","C0038450",0.673698,0.559917,0.814533,0.25,0.13432,0.823529,"C1291004",NA,"C1291004","C1291004=C0037384->*C1291004*<-C0038450<-C1287665"
"sct-umls","UMNSRS_similarity","C0033860","C0054836",0.415109,0.24205,0.061291,0.083333,0.031507,0.266667,"C2720507",NA,"C2720507","C2720507=C0033860->C1960691->C1960690->C1719883->C0012634->C0037088->*C2720507*<-C0054836<-C0304515<-C0001645<-C0004382<-C0013227"
"sct-umls","UMNSRS_similarity","C0019112","C0021359",0.43559,0.266415,0.185473,0.090909,0.035211,0.375,"C0037088",NA,"C0037088","C0037088=C0019112->C0459146->C0263978->C1290853->C0012634->*C0037088*<-C0021359<-C0577274<-C1291680<-C0574125<-C0427350"
"sct-umls","UMNSRS_similarity","C0014544","C0031412",0.43559,0.249863,0.063444,0.090909,0.03265,0.285714,"C2720507",NA,"C2720507","C2720507=C0014544->C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0031412<-C0360117<-C0003286<-C0007680<-C0013227"
"sct-umls","UMNSRS_similarity","C0014544","C0001975",0.43559,0.28637,0.074511,0.090909,0.038566,0.285714,"C2720507",NA,"C2720507","C2720507=C0014544->C0036572->C0730595->C1290906->C0037088->*C2720507*<-C0001975<-C0029224<-C0729761<-C0729759<-C0439861"
"sct-umls","UMNSRS_similarity","C0033860","C0037763",0.482823,0.322573,0.29193,0.111111,0.045491,0.5,"C1290906|C0037088",NA,"C1290906","C0037088=C0033860->C1960691->C1960690->C1719883->C0012634->*C0037088*<-C0037763<-C0427194<-C1290906|C1290906=C0033860->C1302732->C0475811->C0037274->C0455205->C1291044->*C1290906*<-C0037763<-C0427194"
"sct-umls","UMNSRS_similarity","C0037384","C0023992",0.482823,0.228386,0.057695,0.111111,0.029603,0.333333,"C2720507",NA,"C2720507","C2720507=C0037384->C0037090->C1689949->C0037088->*C2720507*<-C0023992<-C0003292<-C0017173<-C0013227"
"sct-umls","UMNSRS_similarity","C0003850","C0008402",0.458023,0.23948,0.060598,0.1,0.03114,0.307692,"C2720507",NA,"C2720507","C2720507=C0003850->C1285162->C0012634->C0037088->*C2720507*<-C0008402<-C0032604<-C1689977<-C0520510<-C0439861"
"sct-umls","UMNSRS_similarity","C0854467","C0037384",0.57826,0.272898,0.245595,0.166667,0.036267,0.615385,"C1290906",NA,"C1290906","C1290906=C0854467->C0427694->*C1290906*<-C0037384<-C0037090<-C0425442"
"sct-umls","UMNSRS_similarity","C0032285","C0036690",0.510546,0.340402,0.3536,0.125,0.049346,0.588235,"C1290853",NA,"C1290853","C1290853=C0032285->C1285331->C1285332->*C1290853*<-C0036690<-C0243026<-C2316160<-C0578491"
"sct-umls","UMNSRS_similarity","C0019270","C0497327",0.415109,0.24405,0.061835,0.083333,0.031795,0.266667,"C2720507",NA,"C2720507","C2720507=C0019270->C0333056->C0333010->C0332447->C1260954->C1268086->*C2720507*<-C0497327<-C0029227<-C0004936<-C0012634<-C0037088"
"sct-umls","UMNSRS_similarity","C0018926","C0027498",0.741411,0.636982,0.877121,0.333333,0.190904,0.888889,"C0042963",NA,"C0042963","C0042963=C0018926->*C0042963*<-C0027498"
"sct-umls","UMNSRS_similarity","C0003862","C0030193",0.673698,0.633216,0.837548,0.25,0.187652,0.823529,"C0030193",NA,"C0030193","C0030193=C0003862->C0026858->C0458087->*C0030193"
"sct-umls","UMNSRS_similarity","C0040165","C0023660",0.482823,0.348405,0.425871,0.111111,0.051181,0.636364,"C1532646|C0013227",NA,"C1532646","C1532646=C0040165->C0040135->C1320237->*C1532646*<-C0023660<-C0360090<-C0002934<-C1532651<-C1532650|C0013227=C0040165->C0279175->C0019928->C0360511->*C0013227*<-C0023660<-C0360090<-C0002934<-C0002932"
"sct-umls","UMNSRS_similarity","C0032285","C0013404",0.541977,0.436566,0.585484,0.142857,0.076518,0.625,"C0425442",NA,"C0425442","C0425442=C0032285->C1290890->C0577910->*C0425442*<-C0013404<-C1287669<-C0577969"
"sct-umls","UMNSRS_similarity","C0741439","C0025287",0.458023,0.255301,0.177672,0.1,0.03347,0.4,"C0037088",NA,"C0037088","C0037088=C0741439->C0151683->C0580316->C1292123->C2711906->*C0037088*<-C0025287<-C0576482<-C0422878<-C1290906"
"sct-umls","UMNSRS_similarity","C0017601","C0232197",0.482823,0.320263,0.346699,0.111111,0.045015,0.6,"C1285159",NA,"C1285159","C1285159=C0017601->C0015397->C1269791->C0042790->*C1285159*<-C0232197<-C0264886<-C0018799<-C0025061"
"sct-umls","UMNSRS_similarity","C0036494","C0007297",0.741411,0.841462,0.969877,0.333333,0.485194,0.888889,"C0026603",NA,"C0026603","C0026603=C0036494->*C0026603*<-C0007297"
"sct-umls","UMNSRS_similarity","C0003862","C0149651",0.43559,0.239619,0.060636,0.090909,0.031159,0.285714,"C2720507",NA,"C2720507","C2720507=C0003862->C0026858->C0426779->C1290906->C0037088->*C2720507*<-C0149651<-C1265981<-C0332447<-C1260954<-C1268086"
"sct-umls","UMNSRS_similarity","C0684275","C0017642",0.415109,0.242364,0.061376,0.083333,0.031552,0.266667,"C2720507",NA,"C2720507","C2720507=C0684275->C0272315->C0005779->C0012634->C0037088->*C2720507*<-C0017642<-C0038766<-C0359086<-C0020616<-C0935929<-C0013227"
"sct-umls","UMNSRS_similarity","C0013428","C0070166",0.43559,0.227815,0.057549,0.090909,0.029526,0.285714,"C2720507",NA,"C2720507","C2720507=C0013428->C0000737->C0578056->C0458087->C1290906->C0037088->*C2720507*<-C0070166<-C0085826<-C0018938<-C0013227"
"sct-umls","UMNSRS_similarity","C0231236","C0042755",0.57826,0.306509,0.338075,0.166667,0.042277,0.615385,"C0427350",NA,"C0427350","C0427350=C0231236->C1290920->C0424449->*C0427350*<-C0042755<-C1626920"
"sct-umls","UMNSRS_similarity","C0002940","C0947651",0,0.405326,0,0,0,0,"",NA,"",""
"sct-umls","UMNSRS_similarity","C0009262","C0032950",0.621175,0.339371,0.426496,0.2,0.049114,0.777778,"C1320237",NA,"C1320237","C1320237=C0009262->*C1320237*<-C0032950<-C0017710<-C0582125"
"sct-umls","UMNSRS_similarity","C0019270","C0006982",0.43559,0.236355,0.059766,0.090909,0.030699,0.285714,"C2720507",NA,"C2720507","C2720507=C0019270->C0333056->C0333010->C0332447->C1260954->C1268086->*C2720507*<-C0006982<-C0598272<-C0014432<-C0013227"
"sct-umls","UMNSRS_similarity","C1257763","C0036572",0.541977,0.317697,0.225115,0.142857,0.044491,0.5,"C0037088",NA,"C0037088","C0037088=C1257763->C0028709->C0012634->*C0037088*<-C0036572<-C0730595<-C1290906"
"sct-umls","UMNSRS_similarity","C0086543","C0030305",0.510546,0.294789,0.259478,0.125,0.040076,0.533333,"C0012634",NA,"C0012634","C0012634=C0086543->C0154777->C1285162->*C0012634*<-C0030305<-C1285331<-C1285332<-C1290884"
"sct-umls","UMNSRS_similarity","C0001962","C0001975",0.741411,0.67048,0.875481,0.333333,0.222422,0.888889,"C0001975",NA,"C0001975","C0001975=C0001962->C1690586->*C0001975"
"sct-umls","UMNSRS_similarity","C0020550","C0036572",0.541977,0.330805,0.300136,0.142857,0.047232,0.571429,"C1290906",NA,"C1290906","C1290906=C0020550->C0040128->C0558385->C1290853->*C1290906*<-C0036572<-C0730595"
"sct-umls","UMNSRS_similarity","C0116569","C0002598",0.621175,0.50777,0.756915,0.2,0.105883,0.818182,"C0003195",NA,"C0003195","C0003195=C0116569->C0360701->*C0003195*<-C0002598<-C0360703"
"sct-umls","UMNSRS_similarity","C0021359","C0079083",0.43559,0.233029,0.058893,0.090909,0.030237,0.285714,"C2720507",NA,"C2720507","C2720507=C0021359->C0577274->C1291680->C0574125->C0427350->C0037088->*C2720507*<-C0079083<-C1443631<-C0003392<-C0013227"
"sct-umls","UMNSRS_similarity","C0003862","C0027796",0.621175,0.530004,0.759186,0.2,0.117186,0.8,"C0458087",NA,"C0458087","C0458087=C0003862->C0026858->*C0458087*<-C0027796<-C0423717"
"sct-umls","UMNSRS_similarity","C0003129","C0033487",0,0.363064,0,0,0,0,"",NA,"",""
