sct	MiniMayoSRS	Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	RADA	INTRINSIC_RADA	JACCARD	SOKAL	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
sct	MiniMayoSRS	32498003	179344006	0.328544	0.213255	0.000000	0.058824	0.000000	0.764706	0.000000	0.000000	0.000000	0.111111	138875005		138875005	138875005=32498003->116616004->396458002->103036003->304275008->116566001->41175001->312415009->312413002->105590001->*138875005*<-179344006<-19063003<-188383006<-363320004<-362958002<-71388002
sct	MiniMayoSRS	70179006	73761001	0.314998	0.216129	0.000000	0.055556	0.000000	0.750000	0.000000	0.000000	0.000000	0.105263	138875005		138875005	138875005=70179006->86049000->367651003->108369006->400177003->416939005->4147007->49755003->118956008->123037004->*138875005*<-73761001<-6019008<-69201005<-118155006<-423827005<-363691001<-71388002
sct	MiniMayoSRS	128863005	126692004	0.507184	0.323867	0.343597	0.125000	0.045662	0.897059	0.408539	0.207435	0.115720	0.588235	123946008|362965005		362965005	362965005=128863005->111590001->414027002->*362965005*<-126692004<-126668007<-201060008<-50043002|123946008=128863005->111590001->414027002->362965005->*123946008*<-126692004<-60600009<-118939000
sct	MiniMayoSRS	74400008	64859006	0.479270	0.304984	0.307747	0.111111	0.041891	0.882353	0.352746	0.181856	0.100023	0.500000	123946008		123946008	123946008=74400008->302168000->363169009->363170005->*123946008*<-64859006<-76069003<-312225001<-105969002
sct	MiniMayoSRS	35489007	128045006	0.575363	0.339060	0.284283	0.166667	0.048942	0.926471	0.450064	0.165693	0.090330	0.545455	64572001		64572001	64572001=35489007->46206005->74732009->*64572001*<-128045006<-128139000
sct	MiniMayoSRS	55822004	363346000	0.507184	0.371746	0.317391	0.125000	0.056817	0.897059	0.530215	0.188630	0.104137	0.461538	64572001		64572001	64572001=55822004->238037008->48286001->75934005->*64572001*<-363346000<-55342001<-399981008
sct	MiniMayoSRS	24700007	69322001	0.575363	0.308758	0.255733	0.166667	0.042619	0.926471	0.364286	0.146614	0.079106	0.545455	64572001		64572001	64572001=24700007->6118003->362975008->*64572001*<-69322001<-74732009
sct	MiniMayoSRS	13200003	57190000	0.431712	0.307475	0.326166	0.090909	0.042370	0.852941	0.360384	0.194862	0.107948	0.500000	362965005		362965005	362965005=13200003->40845000->119292006->84410009->53619000->*362965005*<-57190000<-39021009<-72128008<-95677002<-128127008
sct	MiniMayoSRS	39772007	15825003	0.358207	0.219746	0.000000	0.066667	0.000000	0.794118	0.000000	0.000000	0.000000	0.125000	138875005		138875005	138875005=39772007->399505005->254588001->441456002->64572001->404684003->*138875005*<-15825003<-3711007<-314237003<-59820001<-113343008<-91723000<-442083009<-123037004
sct	MiniMayoSRS	12856003	244568009	0.358207	0.281806	0.263658	0.066667	0.037685	0.794118	0.277352	0.151847	0.082162	0.222222	123037004		123037004	123037004=12856003->399989005->25322007->107658001->49755003->118956008->*123037004*<-244568009<-43653007<-74135004<-61496007<-21793004<-85756007<-91723000<-442083009
sct	MiniMayoSRS	87715008	420054005	0.479270	0.365846	0.515810	0.111111	0.055307	0.882353	0.516617	0.347536	0.210314	0.636364	76712006		76712006	76712006=87715008->78948009->10890000->283015002->*76712006*<-420054005<-425413006<-427399008<-235856003
msh	MiniMayoSRS	D051437	D051437	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	D051437		D051437	D051437=D051437
msh	MiniMayoSRS	D000028	D000022	0.448182	0.226850	0.000000	0.142857	0.000000	0.823529	0.000000	0.000000	0.000000	0.250000	C0000000		C0000000	C0000000=D000028->D013513->D013514->*C0000000*<-D000022<-D011248<-D005261
msh	MiniMayoSRS	D006321	D009206	0.803438	0.716238	0.916713	0.500000	0.273520	0.970588	0.925108	0.846232	0.733451	0.857143	D006321		D006321	D006321=D006321*<-D009206
msh	MiniMayoSRS	D020521	D007238	0.376914	0.218888	0.000000	0.111111	0.000000	0.764706	0.000000	0.000000	0.000000	0.200000	C0000000		C0000000	C0000000=D020521->D002561->D014652->D002318->*C0000000*<-D007238<-D009336<-D010335<-D013568
msh	MiniMayoSRS	D003702	D012559	0.410315	0.218888	0.000000	0.125000	0.000000	0.794118	0.000000	0.000000	0.000000	0.222222	C0000000		C0000000	C0000000=D003702->D001526->D001519->D001520->*C0000000*<-D012559<-D019967<-D001523
msh	MiniMayoSRS	D002113	D003251	0.410315	0.220451	0.000000	0.125000	0.000000	0.794118	0.000000	0.000000	0.000000	0.222222	C0000000		C0000000	C0000000=D002113->D048788->D055705->D010829->*C0000000*<-D003251<-D020763<-D013568
msh	MiniMayoSRS	D009369	D000230	0.543598	0.602130	0.787297	0.200000	0.162401	0.882353	0.854572	0.649209	0.480613	0.500000	D009369		D009369	D009369=D009369*<-D000230<-D002277<-D009375<-D009370
msh	MiniMayoSRS	D006333	D011654	0.448182	0.221945	0.000000	0.142857	0.000000	0.823529	0.000000	0.000000	0.000000	0.250000	C0000000		C0000000	C0000000=D006333->D006331->D002318->*C0000000*<-D011654<-D008171<-D012140
msh	MiniMayoSRS	D011658	D008175	0.688457	0.504171	0.745296	0.333333	0.103807	0.941176	0.756571	0.594002	0.422477	0.750000	D008171		D008171	D008171=D011658->*D008171*<-D008175
msh	MiniMayoSRS	D003967	D013272	0.410315	0.235211	0.000000	0.125000	0.000000	0.794118	0.000000	0.000000	0.000000	0.222222	C0000000		C0000000	C0000000=D003967->D012817->D012816->D013568->*C0000000*<-D013272<-D005767<-D004066
msh	MiniMayoSRS	D008946	D001281	0.543598	0.426146	0.638277	0.200000	0.072681	0.882353	0.640242	0.468728	0.306103	0.600000	D006331		D006331	D006331=D008946->D006349->*D006331*<-D001281<-D001145
msh	MiniMayoSRS	D001932	D020300	0.606877	0.447717	0.651727	0.250000	0.080208	0.911765	0.676651	0.483379	0.318721	0.727273	D001927		D001927	D001927=D001932->*D001927*<-D020300<-D002561
msh	MiniMayoSRS	D000900	D006967	0.410315	0.307842	0.000000	0.125000	0.000000	0.794118	0.000000	0.000000	0.000000	0.222222	C0000000		C0000000	C0000000=D000900->D000890->D045506->D020228->D020164->*C0000000*<-D006967<-D007154
msh	MiniMayoSRS	D011655	D009203	0.491896	0.452766	0.673659	0.166667	0.082080	0.852941	0.684668	0.507908	0.340400	0.545455	D014652		D014652	D014652=D011655->D004617->D016769->*D014652*<-D009203<-D017202
msh	MiniMayoSRS	D002349	D010003	0.410315	0.217047	0.000000	0.125000	0.000000	0.794118	0.000000	0.000000	0.000000	0.222222	C0000000		C0000000	C0000000=D002349->D012090->D013180->D014947->*C0000000*<-D010003<-D012216<-D009140
msh	MiniMayoSRS	D001172	D008180	0.688457	0.522666	0.768726	0.333333	0.112960	0.941176	0.778579	0.624334	0.453841	0.750000	D001327		D001327	D001327=D001172->*D001327*<-D008180
msh	MiniMayoSRS	D000152	D013594	0.448182	0.213961	0.000000	0.142857	0.000000	0.823529	0.000000	0.000000	0.000000	0.250000	C0000000		C0000000	C0000000=D000152->D012625->D012871->D017437->*C0000000*<-D013594<-D004864
msh	MiniMayoSRS	D003920	D006973	0.491896	0.242815	0.000000	0.166667	0.000000	0.852941	0.000000	0.000000	0.000000	0.285714	C0000000		C0000000	C0000000=D003920->D004700->*C0000000*<-D006973<-D014652<-D002318
msh	MiniMayoSRS	D003348	D019645	0.347036	0.218013	0.000000	0.100000	0.000000	0.735294	0.000000	0.000000	0.000000	0.181818	C0000000		C0000000	C0000000=D003348->D000893->D045506->D020228->D020164->*C0000000*<-D019645<-D019643<-D019919<-D013514
msh	MiniMayoSRS	D018281	D003113	0.295334	0.214659	0.000000	0.083333	0.000000	0.676471	0.000000	0.000000	0.000000	0.153846	C0000000		C0000000	C0000000=D018281->D000230->D002277->D009375->D009370->D009369->*C0000000*<-D003113<-D016099<-D016145<-D013505<-D013514
msh	MiniMayoSRS	D019310	D007822	0.448182	0.213556	0.000000	0.142857	0.000000	0.823529	0.000000	0.000000	0.000000	0.250000	C0000000		C0000000	C0000000=D019310->D008206->D006425->*C0000000*<-D007822<-D007818<-D010038
msh	MiniMayoSRS	D001064	D010024	0.376914	0.223114	0.000000	0.111111	0.000000	0.764706	0.000000	0.000000	0.000000	0.200000	C0000000		C0000000	C0000000=D001064->D059413->D007239->D001423->*C0000000*<-D010024<-D001851<-D001847<-D009140
msh	MiniMayoSRS	D003866	D002481	0.448182	0.221323	0.000000	0.142857	0.000000	0.823529	0.000000	0.000000	0.000000	0.250000	C0000000		C0000000	C0000000=D003866->D019964->D001523->*C0000000*<-D002481<-D003240<-D017437
msh	MiniMayoSRS	D006949	D009369	0.448182	0.279697	0.000000	0.142857	0.000000	0.823529	0.000000	0.000000	0.000000	0.250000	C0000000		C0000000	C0000000=D006949->D050171->D052439->D008659->D009750->*C0000000*<-D009369
msh	MiniMayoSRS	D009103	D011618	0.410315	0.219848	0.000000	0.125000	0.000000	0.794118	0.000000	0.000000	0.000000	0.222222	C0000000		C0000000	C0000000=D009103->D020278->D003711->D009422->*C0000000*<-D011618<-D019967<-D001523
msh	MiniMayoSRS	D010437	D009216	0.448182	0.232166	0.000000	0.142857	0.000000	0.823529	0.000000	0.000000	0.000000	0.250000	C0000000		C0000000	C0000000=D010437->D005767->D004066->*C0000000*<-D009216<-D012030<-D005128
msh	MiniMayoSRS	D003111	D001011	0.347036	0.216910	0.000000	0.100000	0.000000	0.735294	0.000000	0.000000	0.000000	0.181818	C0000000		C0000000	C0000000=D003111->D007417->D011127->D020763->D013568->*C0000000*<-D001011<-D001158<-D001808<-D002319
msh	MiniMayoSRS	D014648	D007717	0.410315	0.216341	0.000000	0.125000	0.000000	0.794118	0.000000	0.000000	0.000000	0.222222	C0000000		C0000000	C0000000=D014648->D014652->D002318->*C0000000*<-D007717<-D035002<-D005121<-D001829
msh	MiniMayoSRS	D014987	D008104	0.376914	0.214386	0.000000	0.111111	0.000000	0.764706	0.000000	0.000000	0.000000	0.200000	C0000000		C0000000	C0000000=D014987->D012466->D009059->D009057->*C0000000*<-D008104<-D008108<-D008107<-D004066
msh-umls	MiniMayoSRS	C0035078	C0035078	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	C0035078		C0035078	C0035078=C0035078
msh-umls	MiniMayoSRS	C0156543	C0000786	0.000000	0.374555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0018787	C0027061	0.812098	0.728008	0.923807	0.500000	0.287518	0.975000	0.931112	0.858403	0.751932	0.909091	C0018787		C0018787	C0018787=C0018787*<-C0027061
msh-umls	MiniMayoSRS	C0038454	C0021308	0.404365	0.327817	0.390004	0.111111	0.045939	0.800000	0.422664	0.242239	0.137811	0.428571	C0012674		C0012674	C0012674=C0038454->C0007820->C0042373->C0007222->*C0012674*<-C0021308<-C0027540<-C0030660<-C0039058
msh-umls	MiniMayoSRS	C0011253	C0036341	0.436295	0.349847	0.469915	0.125000	0.050819	0.825000	0.480775	0.307117	0.181416	0.461538	C1256749		C1256749	C1256749=C0011253->C0004941->C0004927->C0004928->*C1256749*<-C0036341<-C0525046<-C0004936
msh-umls	MiniMayoSRS	C1265880	C0009814	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0006826	C0001418	0.000000	0.393587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0018802	C0034063	0.436295	0.311375	0.371419	0.125000	0.042604	0.825000	0.375305	0.228063	0.128708	0.461538	C0012674		C0012674	C0012674=C0018802->C0018801->C0018799->C0007222->*C0012674*<-C0034063<-C0024115<-C0035242
msh-umls	MiniMayoSRS	C0034069	C0242379	0.624196	0.494581	0.743030	0.250000	0.098647	0.925000	0.745995	0.591128	0.419575	0.769231	C0024115		C0024115	C0024115=C0034069->*C0024115*<-C0242379<-C0024121
msh-umls	MiniMayoSRS	C0011991	C0344375	0.000000	0.365280	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0026269	C0004238	0.563705	0.443800	0.670763	0.200000	0.078165	0.900000	0.672154	0.504623	0.337455	0.714286	C0018799		C0018799	C0018799=C0026269->C0018824->*C0018799*<-C0004238<-C0003811
msh-umls	MiniMayoSRS	C0006118	C0151699	0.624196	0.454448	0.654819	0.250000	0.082074	0.925000	0.689093	0.486788	0.321692	0.800000	C0006111		C0006111	C0006111=C0006118->*C0006111*<-C0151699<-C0007820
msh-umls	MiniMayoSRS	C0003232	C0020517	0.000000	0.402974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0034065	C0027051	0.514281	0.452650	0.676591	0.166667	0.081401	0.875000	0.686291	0.511248	0.343408	0.666667	C0042373		C0042373	C0042373=C0034065->C0013922->C0085307->*C0042373*<-C0027051<-C0151744
msh-umls	MiniMayoSRS	C0007286	C0029408	0.436295	0.315653	0.376214	0.125000	0.043448	0.825000	0.387973	0.231690	0.131023	0.461538	C0012674		C0012674	C0012674=C0007286->C0035127->C0038048->C0043251->*C0012674*<-C0029408<-C0035435<-C0026857
msh-umls	MiniMayoSRS	C0003873	C0409974	0.000000	0.367136	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0702166	C0039142	0.000000	0.362477	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0011849	C0020538	0.514281	0.352920	0.419125	0.166667	0.051540	0.875000	0.488424	0.265122	0.152819	0.545455	C0012674		C0012674	C0012674=C0011849->C0014130->*C0012674*<-C0020538<-C0042373<-C0007222
msh-umls	MiniMayoSRS	C0010137	C0086511	0.326379	0.230692	0.057188	0.083333	0.029436	0.725000	0.083397	0.029436	0.014938	0.266667	C0000000|C1256741		C1256741	C0000000=C0010137->C0003209->C1258064->C0600511->C0600512->*C0000000*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784<-C1256741|C1256741=C0010137->C0003209->C1258064->C0600511->C0600505->C0007995->*C1256741*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784
msh-umls	MiniMayoSRS	C0206698	C0009378	0.284591	0.226446	0.056117	0.071429	0.028869	0.675000	0.064843	0.028868	0.014646	0.235294	C1256741		C1256741	C1256741=C0206698->C0001418->C0007097->C0027660->C0027652->C0027651->C0012674->*C1256741*<-C0009378<-C0079278<-C0079277<-C0038898<-C0543467<-C0002784
msh-umls	MiniMayoSRS	C0333997	C0007107	0.000000	0.357654	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0003615	C0029456	0.404365	0.324870	0.386643	0.111111	0.045323	0.800000	0.414437	0.239651	0.136139	0.428571	C0012674		C0012674	C0012674=C0003615->C0017160->C0017178->C0012242->*C0012674*<-C0029456<-C0005944<-C0005940<-C0026857
msh-umls	MiniMayoSRS	C0011581	C0007642	0.404365	0.233944	0.058021	0.111111	0.029878	0.800000	0.097366	0.029877	0.015165	0.333333	C1256741		C1256741	C1256741=C0011581->C0525045->C0004936->C1256749->*C1256741*<-C0007642<-C0009782<-C0175166<-C0012674
msh-umls	MiniMayoSRS	C0020473	C0006826	0.000000	0.374273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0026769	C0033975	0.375804	0.233832	0.057993	0.100000	0.029862	0.775000	0.096892	0.029862	0.015157	0.307692	C0000000|C1256741		C1256741	C0000000=C0026769->C0751873->C0751871->C0751872->*C0000000*<-C0033975<-C0525046<-C0004936<-C1256749<-C1256741|C1256741=C0026769->C0751873->C0751871->C0027765->C0012674->*C1256741*<-C0033975<-C0525046<-C0004936<-C1256749
msh-umls	MiniMayoSRS	C0030920	C0027092	0.472493	0.335332	0.398633	0.142857	0.047548	0.850000	0.443151	0.248933	0.142161	0.500000	C0012674		C0012674	C0012674=C0030920->C0017178->C0012242->*C0012674*<-C0027092<-C0034951<-C0015397
msh-umls	MiniMayoSRS	C0034887	C0003483	0.000000	0.365280	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0042345	C0224701	0.000000	0.360225	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0043352	C0023891	0.404365	0.311098	0.371110	0.111111	0.042550	0.800000	0.374478	0.227830	0.128560	0.428571	C0012674		C0012674	C0012674=C0043352->C0036093->C0026636->C0038368->*C0012674*<-C0023891<-C0023890<-C0023895<-C0012242
msh-umls	MiniMayoSRS	Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	RADA	INTRINSIC_RADA	JACCARD	SOKAL	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
msh-umls	MiniMayoSRS	C0035078	C0035078	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	C0035078		C0035078	C0035078=C0035078
msh-umls	MiniMayoSRS	C0392535	C0000786	0.404365	0.241271	0.059943	0.111111	0.030898	0.800000	0.128089	0.030898	0.015691	0.333333	C1256741		C1256741	C1256741=C0392535->C0038906->C0543467->C0002784->*C1256741*<-C0000786<-C0032962<-C1720765<-C0012674
msh-umls	MiniMayoSRS	C0018787	C0027061	0.812098	0.728008	0.923807	0.500000	0.287518	0.975000	0.931112	0.858403	0.751932	0.909091	C0018787		C0018787	C0018787=C0018787*<-C0027061
msh-umls	MiniMayoSRS	C0038454	C0021308	0.404365	0.327817	0.390004	0.111111	0.045939	0.800000	0.422664	0.242239	0.137811	0.428571	C0012674		C0012674	C0012674=C0038454->C0007820->C0042373->C0007222->*C0012674*<-C0021308<-C0027540<-C0030660<-C0039058
msh-umls	MiniMayoSRS	C0011253	C0036341	0.436295	0.349847	0.469915	0.125000	0.050819	0.825000	0.480775	0.307117	0.181416	0.461538	C1256749		C1256749	C1256749=C0011253->C0004941->C0004927->C0004928->*C1256749*<-C0036341<-C0525046<-C0004936
msh-umls	MiniMayoSRS	C0006660	C1261287	0.375804	0.230813	0.057219	0.100000	0.029452	0.775000	0.083921	0.029452	0.014946	0.307692	C1256741		C1256741	C1256741=C0006660->C0018271->C0031845->C2350828->C2930671->*C1256741*<-C1261287<-C0752135<-C0039058<-C0012674
msh-umls	MiniMayoSRS	C0006826	C0001418	0.000000	0.393587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0018802	C0034063	0.436295	0.311375	0.371419	0.125000	0.042604	0.825000	0.375305	0.228063	0.128708	0.461538	C0012674		C0012674	C0012674=C0018802->C0018801->C0018799->C0007222->*C0012674*<-C0034063<-C0024115<-C0035242
msh-umls	MiniMayoSRS	C0034069	C0242379	0.624196	0.494581	0.743030	0.250000	0.098647	0.925000	0.745995	0.591128	0.419575	0.769231	C0024115		C0024115	C0024115=C0034069->*C0024115*<-C0242379<-C0024121
msh-umls	MiniMayoSRS	C0011991	C0038354	0.436295	0.339083	0.402968	0.125000	0.048373	0.825000	0.453113	0.252323	0.144376	0.461538	C0012674		C0012674	C0012674=C0011991->C0037089->C0037088->C0039058->*C0012674*<-C0038354<-C0017178<-C0012242
msh-umls	MiniMayoSRS	C0026269	C0004238	0.563705	0.443800	0.670763	0.200000	0.078165	0.900000	0.672154	0.504623	0.337455	0.714286	C0018799		C0018799	C0018799=C0026269->C0018824->*C0018799*<-C0004238<-C0003811
msh-umls	MiniMayoSRS	C0006118	C0151699	0.624196	0.454448	0.654819	0.250000	0.082074	0.925000	0.689093	0.486788	0.321692	0.800000	C0006111		C0006111	C0006111=C0006118->*C0006111*<-C0151699<-C0007820
msh-umls	MiniMayoSRS	C0003232	C0020517	0.000000	0.402974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
msh-umls	MiniMayoSRS	C0034065	C0027051	0.514281	0.452650	0.676591	0.166667	0.081401	0.875000	0.686291	0.511248	0.343408	0.666667	C0042373		C0042373	C0042373=C0034065->C0013922->C0085307->*C0042373*<-C0027051<-C0151744
msh-umls	MiniMayoSRS	C0007286	C0029408	0.436295	0.315653	0.376214	0.125000	0.043448	0.825000	0.387973	0.231690	0.131023	0.461538	C0012674		C0012674	C0012674=C0007286->C0035127->C0038048->C0043251->*C0012674*<-C0029408<-C0035435<-C0026857
msh-umls	MiniMayoSRS	C0003873	C0024141	0.702183	0.519802	0.767766	0.333333	0.110734	0.950000	0.776754	0.623068	0.452504	0.833333	C0004364		C0004364	C0004364=C0003873->*C0004364*<-C0024141
msh-umls	MiniMayoSRS	C0001144	C0039142	0.404365	0.227928	0.056488	0.111111	0.029065	0.800000	0.071361	0.029065	0.014747	0.333333	C1256741		C1256741	C1256741=C0001144->C0036502->C0037274->C0175166->C0012674->*C1256741*<-C0039142<-C0014674<-C0002784
msh-umls	MiniMayoSRS	C0011849	C0020538	0.514281	0.352920	0.419125	0.166667	0.051540	0.875000	0.488424	0.265122	0.152819	0.545455	C0012674		C0012674	C0012674=C0011849->C0014130->*C0012674*<-C0020538<-C0042373<-C0007222
msh-umls	MiniMayoSRS	C0010137	C0086511	0.326379	0.230692	0.057188	0.083333	0.029436	0.725000	0.083397	0.029436	0.014938	0.266667	C0000000|C1256741		C1256741	C0000000=C0010137->C0003209->C1258064->C0600511->C0600512->*C0000000*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784<-C1256741|C1256741=C0010137->C0003209->C1258064->C0600511->C0600505->C0007995->*C1256741*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784
msh-umls	MiniMayoSRS	C0206698	C0009378	0.284591	0.226446	0.056117	0.071429	0.028869	0.675000	0.064843	0.028868	0.014646	0.235294	C1256741		C1256741	C1256741=C0206698->C0001418->C0007097->C0027660->C0027652->C0027651->C0012674->*C1256741*<-C0009378<-C0079278<-C0079277<-C0038898<-C0543467<-C0002784
msh-umls	MiniMayoSRS	C0221269	C0007107	0.436295	0.309317	0.369123	0.125000	0.042205	0.825000	0.369123	0.226334	0.127608	0.461538	C0012674		C0012674	C0012674=C0221269->C0024228->C0018981->*C0012674*<-C0007107<-C0023055<-C0023051<-C0029896
msh-umls	MiniMayoSRS	C0003615	C0029456	0.404365	0.324870	0.386643	0.111111	0.045323	0.800000	0.414437	0.239651	0.136139	0.428571	C0012674		C0012674	C0012674=C0003615->C0017160->C0017178->C0012242->*C0012674*<-C0029456<-C0005944<-C0005940<-C0026857
msh-umls	MiniMayoSRS	C0011581	C0007642	0.404365	0.233944	0.058021	0.111111	0.029878	0.800000	0.097366	0.029877	0.015165	0.333333	C1256741		C1256741	C1256741=C0011581->C0525045->C0004936->C1256749->*C1256741*<-C0007642<-C0009782<-C0175166<-C0012674
msh-umls	MiniMayoSRS	C0020473	C0006826	0.000000	0.374273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
