Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
D007019	D006815	0.000000	0.410315	0.215085	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D007019->D001796->D006402->D006425->*C0000000*<-D006815<-D004068<-D055688
D007328	D005934	0.782450	0.543598	0.461567	0.641599	0.200000	0.085447	0.666667	D011498	D011498	D011498	D011498=D007328->D011384->*D011498*<-D005934<-D052336
D002386	D004827	0.000000	0.410315	0.266998	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D002386->D007905->D005128->*C0000000*<-D004827<-D001927<-D002493<-D009422
D002386	D012135	0.000000	0.448182	0.240317	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D002386->D007905->D005128->*C0000000*<-D012135<-D012143<-D002943
D008691	D014147	0.713983	0.688457	0.494712	0.737736	0.333333	0.099417	0.888889	D009294|D000701	D009294	D009294	D000701=D008691->*D000701*<-D014147|D009294=D008691->*D009294*<-D014147
D010787	D001044	0.000000	0.410315	0.223929	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D010787->D012871->D017437->*C0000000*<-D001044<-D014832<-D007818<-D010038
D011565	D008580	0.000000	0.410315	0.215735	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D011565->D017444->D012871->D017437->*C0000000*<-D008580<-D009461<-D009422
D014770	D012798	0.000000	0.410315	0.221742	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D014770->D012816->D013568->*C0000000*<-D012798<-D012466<-D009059<-D009057
D011565	D001168	0.000000	0.410315	0.235923	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D011565->D017444->D012871->D017437->*C0000000*<-D001168<-D007592<-D009140
D014859	D014812	0.586606	0.448182	0.373737	0.505905	0.142857	0.057205	0.625000	D045504|D006401	D006401	D006401	D045504=D014859->D015110->D004791->*D045504*<-D014812<-D000933<-D050299|D006401=D014859->D000925->*D006401*<-D014812<-D000933<-D006490<-D003029
D003704	D011565	0.000000	0.410315	0.228580	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D003704->D019965->D001523->*C0000000*<-D011565<-D017444<-D012871<-D017437
D000740	C011819	0.000000	0.410315	0.236037	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D000740->D006402->D006425->*C0000000*<-C011819<-D005296<-D058085<-D007287
D004660	D008580	0.392481	0.491896	0.361702	0.481337	0.166667	0.054145	0.444444	D009422	D009422	D009422	D009422=D004660->D001927->D002493->*D009422*<-D008580<-D009461
D005094	D006980	0.000000	0.448182	0.222528	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D005094->D009916->D005128->*C0000000*<-D006980<-D013959<-D004700
D013923	D006469	0.000000	0.410315	0.219602	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D013923->D016769->D014652->D002318->*C0000000*<-D006469<-D008171<-D012140
D011014	D002443	0.000000	0.347036	0.222836	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D011014->D012141->D012140->*C0000000*<-D002443<-D000900<-D000890<-D045506<-D020228<-D020164
D017292	C041226	0.816088	0.688457	0.728604	0.930334	0.333333	0.289418	0.909091	D011224	D011224	D011224	D011224=D017292->*D011224*<-C041226
D002386	D008687	0.000000	0.376914	0.244634	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D002386->D007905->D005128->*C0000000*<-D008687<-D007004<-D045505<-D020228<-D020164
D012640	D002220	0.000000	0.410315	0.227342	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D012640->D009461->D009422->*C0000000*<-D002220<-D003984<-D006575<-D006571
D002386	D007328	0.000000	0.376914	0.266283	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D002386->D007905->D005128->*C0000000*<-D007328<-D007004<-D045505<-D020228<-D020164
D000740	D045262	0.000000	0.448182	0.236037	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D000740->D006402->D006425->*C0000000*<-D045262<-D001790<-D002943
D050171	D005395	0.000000	0.410315	0.259096	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D050171->D052439->D008659->D009750->*C0000000*<-D005395<-D009821<-D008055
D005996	D009020	0.350233	0.410315	0.325603	0.342632	0.125000	0.045913	0.533333	D045505|C0000000|D045506	D045506	D045505	D045505=D005996->D005990->D003451->D020011->*D045505*<-D009020<-D000701<-D002492|D045506=D005996->D014665->D002317->*D045506*<-D009020<-D000701<-D000700<-D002491|C0000000=D005996->D009574->D009930->*C0000000*<-D009020<-D009019<-D006576<-D006571
D002440	D002443	0.489854	0.688457	0.361693	0.506023	0.333333	0.054143	0.857143	D000900	D000900	D000900	D000900=D002440->*D000900*<-D002443
D010167	D001241	0.000000	0.347036	0.225222	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D010167->D012877->D012816->D013568->*C0000000*<-D001241<-D058633<-D045505<-D020228<-D020164
D009202	D008914	0.000000	0.410315	0.233984	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D009202->D006331->D002318->*C0000000*<-D008914<-D011743<-D006573<-D006571
D000639	D005473	0.719486	0.543598	0.472238	0.704465	0.200000	0.089716	0.777778	D000928|D014179	D000928	D000928	D000928=D000639->D000929->*D000928*<-D005473<-D018687|D014179=D000639->D018759->*D014179*<-D005473<-D017367
D050171	D002792	0.000000	0.347036	0.227497	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D050171->D052439->D008659->D009750->*C0000000*<-D002792<-D011137<-D010969<-D011108<-D046911
D010930	D008199	0.000000	0.347036	0.218888	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D010930->D015009->D004756->D016905->D001424->D001423->*C0000000*<-D008199<-D008206<-D006425
D000438	D004221	0.417935	0.491896	0.336636	0.209422	0.166667	0.048286	0.444444	D009930	D009930	D009930	D009930=D000438->*D009930*<-D004221<-D004220<-D013440<-D013457
D003061	D009270	0.810545	0.543598	0.607714	0.841880	0.200000	0.166597	0.833333	D000701|D009019|D002491	D009019	D009019	D000701=D003061->*D000701*<-D009270<-D009019<-D053610|D002491=D003061->D000996->*D002491*<-D009270<-D009292|D009019=D003061->D009022->D009020->*D009019*<-D009270
D014859	D001241	0.622350	0.543598	0.381418	0.515216	0.200000	0.059248	0.714286	D004791|D006401	D006401	D006401	D004791=D014859->D015110->*D004791*<-D001241<-D016861|D006401=D014859->D000925->*D006401*<-D001241<-D005343
D014640	D005913	0.207298	0.410315	0.285985	0.256557	0.125000	0.038311	0.461538	D020228	D020228	D020228	D020228=D014640->D000900->D000890->D045506->*D020228*<-D005913<-D007004<-D045505
D005355	D006547	0.486022	0.543598	0.401695	0.530988	0.200000	0.064999	0.500000	D013568	D013568	D013568	D013568=D005355->D010335->*D013568*<-D006547<-D020763
D000380	D007970	0.977635	0.803438	0.899189	0.982209	0.500000	0.630930	0.909091	D007970	D007970	D007970	D007970=D000380->*D007970
D005442	D003975	0.845134	0.688457	0.515601	0.761756	0.333333	0.109372	0.875000	D001570|D018757	D001570	D018757	D001570=D005442->*D001570*<-D003975|D018757=D005442->*D018757*<-D003975
D006967	D006493	0.000000	0.448182	0.260456	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006967->D007154->*C0000000*<-D006493<-D006025<-D011134<-D002241
D003048	D008581	0.000000	0.448182	0.232708	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D003048->D011528->D010272->*C0000000*<-D008581<-D002494<-D001423
D000783	D010024	0.000000	0.410315	0.238234	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D000783->D014652->D002318->*C0000000*<-D010024<-D001851<-D001847<-D009140
D010024	D013927	0.000000	0.376914	0.235062	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D010024->D001851->D001847->D009140->*C0000000*<-D013927<-D016769<-D014652<-D002318
D012585	C073008	0.000000	0.320008	0.213129	0.000000	0.090909	0.000000	0.166667	C0000000	C0000000	C0000000	C0000000=D012585->D009437->D010146->D009461->D009422->*C0000000*<-C073008<-D012968<-D004164<-D009943<-D009930
D050197	D007511	0.000000	0.376914	0.220265	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D050197->D001161->D001157->D014652->D002318->*C0000000*<-D007511<-D010335<-D013568
D013921	D012585	0.000000	0.347036	0.228931	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D013921->D001791->D006402->D006425->*C0000000*<-D012585<-D009437<-D010146<-D009461<-D009422
D004660	D008581	0.805675	0.688457	0.652345	0.878635	0.333333	0.204277	0.800000	D002494	D002494	D002494	D002494=D004660->*D002494*<-D008581
D000418	D006493	0.000000	0.410315	0.277006	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D000418->D011506->D000602->*C0000000*<-D006493<-D006025<-D011134<-D002241
D011141	D007328	0.000000	0.347036	0.236453	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D011141->D014555->D014570->D052801->*C0000000*<-D007328<-D007004<-D045505<-D020228<-D020164
D012913	D012135	0.951242	0.803438	0.971799	0.996108	0.500000	0.879118	0.909091	D012135	D012135	D012135	D012135=D012913->*D012135
D011565	C043211	0.000000	0.376914	0.215735	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D011565->D017444->D012871->D017437->*C0000000*<-C043211<-D002227<-D006575<-D006571
D006484	D007246	0.000000	0.448182	0.220080	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006484->D014652->D002318->*C0000000*<-D007246<-D005832<-D052801
D004827	D010634	0.000000	0.347036	0.249192	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D004827->D001927->D002493->D009422->*C0000000*<-D010634<-D006993<-D045505<-D020228<-D020164
D004827	D000438	0.000000	0.448182	0.320535	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D004827->D001927->D002493->D009422->*C0000000*<-D000438<-D009930
D012913	D008139	0.000000	0.376914	0.215735	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D012913->D012135->D012143->D002943->*C0000000*<-D008139<-D010880<-D006573<-D006571
D001247	D002100	0.440458	0.448182	0.379658	0.547449	0.142857	0.058774	0.500000	D012816	D012816	D012816	D012816=D001247->*D012816*<-D002100<-D004614<-D015431<-D001836<-D001835
D012640	D016642	0.000000	0.410315	0.224685	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D012640->D009461->D009422->*C0000000*<-D016642<-D011427<-D007659<-D009930
D011014	D018805	0.673813	0.606877	0.475835	0.698499	0.250000	0.091203	0.666667	D007239	D007239	D007239	D007239=D011014->D012141->*D007239*<-D018805
D006547	D003704	0.000000	0.448182	0.246899	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006547->D020763->D013568->*C0000000*<-D003704<-D019965<-D001523
D013974	D008012	0.351090	0.376914	0.331680	0.349220	0.111111	0.047205	0.500000	D045505	D045505	D045505	D045505=D013974->D013963->D006728->D006730->*D045505*<-D008012<-D000779<-D000777<-D002492
D011014	D004417	0.562771	0.543598	0.443120	0.651734	0.200000	0.078541	0.500000	D012140	D012140	D012140	D012140=D011014->D012141->*D012140*<-D004417<-D012120
D009041	D009041	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	D009041	D009041	D009041	D009041=D009041
D000111	D000082	0.314000	0.448182	0.339862	0.358198	0.142857	0.049003	0.571429	D045505	D045505	D045505	D045505=D000111->D016166->D000975->D020011->*D045505*<-D000082<-D058633
D019851	D013923	0.000000	0.410315	0.230393	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D019851->D006402->D006425->*C0000000*<-D013923<-D016769<-D014652<-D002318
D006042	D007052	0.000000	0.376914	0.229711	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D006042->D013959->D004700->*C0000000*<-D007052<-D010666<-D000146<-D002264<-D009930
D053159	C055162	0.000000	0.320008	0.212801	0.000000	0.090909	0.000000	0.166667	C0000000	C0000000	C0000000	C0000000=D053159->D059411->D020924->D012816->D013568->*C0000000*<-C055162<-D013988<-D058924<-D006574<-D006571
D003078	D011239	0.571064	0.491896	0.407074	0.523035	0.166667	0.066616	0.666667	D045506|D000970	D000970	D000970	D045506=D003078->D006074->D018501->*D045506*<-D011239<-D000893|D000970=D003078->D050257->D050256->*D000970*<-D011239<-D018931
D006547	D002230	0.000000	0.448182	0.233709	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006547->D020763->D013568->*C0000000*<-D002230<-D006834<-D009930
D044343	D012640	0.000000	0.448182	0.237960	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D044343->D009748->D009750->*C0000000*<-D012640<-D009461<-D009422
D002386	D010195	0.000000	0.448182	0.246268	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D002386->D007905->D005128->*C0000000*<-D010195<-D010182<-D004066
D000431	D000438	0.904526	0.803438	0.620496	0.760110	0.500000	0.176616	0.857143	D000438	D000438	D000438	D000438=D000431->*D000438
D006980	D012640	0.000000	0.448182	0.226566	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006980->D013959->D004700->*C0000000*<-D012640<-D009461<-D009422
D005492	D004837	0.388698	0.448182	0.339219	0.356827	0.142857	0.048859	0.571429	D045506	D045506	D045506	D045506=D005492->D006397->D006401->*D045506*<-D004837<-D014662<-D002317
C036604	D000638	0.000000	0.347036	0.219862	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=C036604->D011412->D000605->D000438->D009930->*C0000000*<-D000638<-D001572<-D006574<-D006571
D007246	D016190	0.000000	0.410315	0.236489	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D007246->D005832->D052801->*C0000000*<-D016190<-D009944<-D009942<-D009930
D014202	D002230	0.000000	0.410315	0.215991	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D014202->D020820->D009461->D009422->*C0000000*<-D002230<-D006834<-D009930
D010195	D007328	0.000000	0.376914	0.243245	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D010195->D010182->D004066->*C0000000*<-D007328<-D007004<-D045505<-D020228<-D020164
D005759	D007328	0.000000	0.376914	0.256452	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D005759->D005767->D004066->*C0000000*<-D007328<-D007004<-D045505<-D020228<-D020164
D006660	D011239	0.000000	0.376914	0.237535	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D006660->D009181->D001423->*C0000000*<-D011239<-D000893<-D045506<-D020228<-D020164
D006429	C055162	0.000000	0.347036	0.214989	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D006429->D010243->D009461->D009422->*C0000000*<-C055162<-D013988<-D058924<-D006574<-D006571
D009181	C065179	0.000000	0.448182	0.236468	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D009181->D001423->*C0000000*<-C065179<-D006538<-D005227<-D008055
D012216	D003078	0.000000	0.491896	0.242854	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=D012216->D009140->*C0000000*<-D003078<-D000470<-D006571
D004417	D010406	0.000000	0.410315	0.234352	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D004417->D012120->D012140->*C0000000*<-D010406<-D047090<-D013457<-D009930
D005355	D006396	0.463519	0.543598	0.405820	0.583896	0.200000	0.066236	0.600000	D010335	D010335	D010335	D010335=D005355->*D010335*<-D006396<-D006471<-D006470
D006261	D006261	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	D006261	D006261	D006261	D006261=D006261
D050197	D006356	0.000000	0.347036	0.214140	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D050197->D001161->D001157->D014652->D002318->*C0000000*<-D006356<-D012817<-D012816<-D013568
D009202	D013575	0.000000	0.376914	0.235353	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D009202->D006331->D002318->*C0000000*<-D013575<-D014474<-D003244<-D019954<-D001520
D000860	D012640	0.582288	0.543598	0.404457	0.577174	0.200000	0.065824	0.600000	D012816	D012816	D012816	D012816=D000860->D012818->*D012816*<-D012640<-D009461
D009041	D000431	0.000000	0.448182	0.254097	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D009041->D012816->D013568->*C0000000*<-D000431<-D000438<-D009930
D050171	C011819	0.000000	0.376914	0.227203	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D050171->D052439->D008659->D009750->*C0000000*<-C011819<-D005296<-D058085<-D007287
D013789	D014202	0.000000	0.376914	0.219463	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D013789->D006453->D030342->D009358->*C0000000*<-D014202<-D020820<-D009461<-D009422
D000787	D009638	0.000000	0.376914	0.219540	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D000787->D017202->D014652->D002318->*C0000000*<-D009638<-D000605<-D000438<-D009930
D016572	D011239	0.362914	0.543598	0.333993	0.351092	0.200000	0.047707	0.666667	D045506	D045506	D045506	D045506=D016572->D018501->*D045506*<-D011239<-D000893
D013035	D012585	0.542618	0.491896	0.417699	0.615969	0.166667	0.069929	0.615385	D009461	D009461	D009461	D009461=D013035->D020879->*D009461*<-D012585<-D009437<-D010146
D001991	C093875	0.000000	0.410315	0.216662	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D001991->D012141->D012140->*C0000000*<-C093875<-D011804<-D006574<-D006571
C065179	D008148	0.000000	0.376914	0.218454	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=C065179->D006538->D005227->D008055->*C0000000*<-D008148<-D009281<-D011084<-D011083
D013035	D005665	0.000000	0.347036	0.220281	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D013035->D020879->D009461->D009422->*C0000000*<-D005665<-D013424<-D000814<-D000588<-D009930
D014103	D004917	0.000000	0.347036	0.235087	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D014103->D020821->D009069->D002493->D009422->*C0000000*<-D004917<-D018942<-D007783<-D009930
D003872	D006967	0.000000	0.491896	0.260860	0.000000	0.166667	0.000000	0.285714	C0000000	C0000000	C0000000	C0000000=D003872->D012871->D017437->*C0000000*<-D006967<-D007154
D001161	D007511	0.000000	0.410315	0.228253	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D001161->D001157->D014652->D002318->*C0000000*<-D007511<-D010335<-D013568
D006432	D011141	0.000000	0.347036	0.215735	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D006432->D008664->D008661->D030342->D009358->*C0000000*<-D011141<-D014555<-D014570<-D052801
D037061	D014098	0.535771	0.606877	0.704020	0.919190	0.250000	0.258671	0.823529	D010146	D010146	D010146	D010146=D037061->*D010146*<-D014098<-D005157
D003681	D013217	0.539517	0.448182	0.375638	0.539552	0.142857	0.057704	0.400000	D009750	D009750	D009750	D009750=D003681->D014883->D008659->*D009750*<-D013217<-D044342<-D009748
D003092	D004827	0.000000	0.376914	0.243888	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D003092->D005759->D005767->D004066->*C0000000*<-D004827<-D001927<-D002493<-D009422
D007662	D013217	0.527986	0.410315	0.378465	0.542956	0.125000	0.058454	0.363636	D009750	D009750	D009750	D009750=D007662->D000138->D000137->D008659->*D009750*<-D013217<-D044342<-D009748
C043211	C081643	0.430726	0.491896	0.279959	0.271662	0.166667	0.037271	0.545455	D006574	D006574	D006574	D006574=C043211->D002227->D007211->*D006574*<-C081643<-D001562
D013789	D006453	0.961700	0.803438	0.879143	0.977917	0.500000	0.575717	0.888889	D006453	D006453	D006453	D006453=D013789->*D006453
D009181	D008581	0.601164	0.606877	0.478786	0.674294	0.250000	0.092440	0.571429	D001423	D001423	D001423	D001423=D009181->*D001423*<-D008581<-D002494
D010167	C011819	0.000000	0.376914	0.212801	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D010167->D012877->D012816->D013568->*C0000000*<-C011819<-D005296<-D058085<-D007287
D006356	D007052	0.000000	0.347036	0.220446	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D006356->D012817->D012816->D013568->*C0000000*<-D007052<-D010666<-D000146<-D002264<-D009930
D003061	D003915	0.829401	0.688457	0.574767	0.820060	0.333333	0.143317	0.857143	D000996	D000996	D000996	D000996=D003061->*D000996*<-D003915
D000111	D000241	0.351473	0.448182	0.366094	0.387069	0.142857	0.055242	0.571429	D045506	D045506	D045506	D045506=D000111->D000998->D000890->*D045506*<-D000241<-D000889<-D002317
D004205	D011239	0.331676	0.491896	0.331296	0.348151	0.166667	0.047123	0.615385	D045506	D045506	D045506	D045506=D004205->D018927->D019141->*D045506*<-D011239<-D000893
D002442	D002443	0.501686	0.688457	0.362837	0.507404	0.333333	0.054426	0.857143	D000900	D000900	D000900	D000900=D002442->*D000900*<-D002443
D010146	D009020	0.000000	0.410315	0.242505	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D010146->D009461->D009422->*C0000000*<-D009020<-D009019<-D006576<-D006571
D009270	D005283	0.754741	0.543598	0.511511	0.739870	0.200000	0.107348	0.800000	D000701|D002491	D000701	D000701	D000701=D009270->D009019->D053610->*D000701*<-D005283|D002491=D009270->D009292->*D002491*<-D005283<-D000759
D053159	D006469	0.405695	0.491896	0.378657	0.546245	0.166667	0.058505	0.545455	D012816	D012816	D012816	D012816=D053159->D059411->D020924->*D012816*<-D006469<-D012818
D014657	D006429	0.000000	0.410315	0.233041	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D014657->D014652->D002318->*C0000000*<-D006429<-D010243<-D009461<-D009422
D007319	D003911	0.000000	0.347036	0.233014	0.000000	0.100000	0.000000	0.181818	C0000000	C0000000	C0000000	C0000000=D007319->D020919->D020920->D012893->D001523->*C0000000*<-D003911<-D005936<-D011134<-D002241
D003078	D011339	0.804587	0.606877	0.553727	0.797509	0.250000	0.130182	0.800000	D006074	D006074	D006074	D006074=D003078->*D006074*<-D011339<-D014528
D005355	D000740	0.000000	0.448182	0.246880	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D005355->D010335->D013568->*C0000000*<-D000740<-D006402<-D006425
D002981	D008914	0.436445	0.448182	0.296462	0.311403	0.142857	0.040190	0.571429	D045506|D006573	D006573	D045506	D045506=D002981->D000900->D000890->*D045506*<-D008914<-D000959<-D002317|D006573=D002981->D008034->D055231->D011759->*D006573*<-D008914<-D011743
D006505	D000082	0.000000	0.376914	0.241493	0.000000	0.111111	0.000000	0.200000	C0000000	C0000000	C0000000	C0000000=D006505->D008107->D004066->*C0000000*<-D000082<-D058633<-D045505<-D020228<-D020164
D006547	D004433	0.390832	0.491896	0.380232	0.504896	0.166667	0.058928	0.444444	D013568	D013568	D013568	D013568=D006547->D020763->*D013568*<-D004433<-D010146<-D012816
D018771	C081643	0.000000	0.410315	0.213170	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D018771->D007592->D009140->*C0000000*<-C081643<-D001562<-D006574<-D006571
D006042	D012594	0.000000	0.448182	0.228086	0.000000	0.142857	0.000000	0.250000	C0000000	C0000000	C0000000	C0000000=D006042->D013959->D004700->*C0000000*<-D012594<-D012871<-D017437
D001259	D000431	0.000000	0.410315	0.268888	0.000000	0.125000	0.000000	0.222222	C0000000	C0000000	C0000000	C0000000=D001259->D020820->D009461->D009422->*C0000000*<-D000431<-D000438<-D009930
D015047	D001404	0.610645	0.606877	0.449042	0.676746	0.250000	0.080695	0.571429	D000820|D010272	D010272	D010272	D010272=D015047->*D010272*<-D001404<-D010273|D000820=D015047->*D000820*<-D001404<-D010273
