Concept 1	Concept 2	LIN	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0011849	C0020538	0.335876	0.514281	0.352920	0.419125	0.166667	0.051540	0.545455	C0012674	C0012674	C0012674	C0012674=C0011849->C0014130->*C0012674*<-C0020538<-C0042373<-C0007222
C0010137	C0086511	0.016133	0.326379	0.230692	0.057188	0.083333	0.029436	0.266667	C0000000|C1256741	C1256741	C1256741	C0000000=C0010137->C0003209->C1258064->C0600511->C0600512->*C0000000*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784<-C1256741|C1256741=C0010137->C0003209->C1258064->C0600511->C0600505->C0007995->*C1256741*<-C0086511<-C0185317<-C0525024<-C0543467<-C0002784
C0206698	C0009378	0.015660	0.284591	0.226446	0.056117	0.071429	0.028869	0.235294	C1256741	C1256741	C1256741	C1256741=C0206698->C0001418->C0007097->C0027660->C0027652->C0027651->C0012674->*C1256741*<-C0009378<-C0079278<-C0079277<-C0038898<-C0543467<-C0002784
C0221269	C0007107	0.000000	0.436295	0.309317	0.369123	0.125000	0.042205	0.461538	C0012674	C0012674	C0012674	C0012674=C0221269->C0024228->C0018981->*C0012674*<-C0007107<-C0023055<-C0023051<-C0029896
C0003615	C0029456	0.255237	0.404365	0.324870	0.386643	0.111111	0.045323	0.428571	C0012674	C0012674	C0012674	C0012674=C0003615->C0017160->C0017178->C0012242->*C0012674*<-C0029456<-C0005944<-C0005940<-C0026857
C0011581	C0007642	0.016991	0.404365	0.233944	0.058021	0.111111	0.029878	0.333333	C1256741	C1256741	C1256741	C1256741=C0011581->C0525045->C0004936->C1256749->*C1256741*<-C0007642<-C0009782<-C0175166<-C0012674
C0020473	C0006826	0.000000	0.000000	0.374273	0.000000	0.000000	0.000000	0.000000				
C0026769	C0033975	0.017968	0.375804	0.233832	0.057993	0.100000	0.029862	0.307692	C0000000|C1256741	C1256741	C1256741	C0000000=C0026769->C0751873->C0751871->C0751872->*C0000000*<-C0033975<-C0525046<-C0004936<-C1256749<-C1256741|C1256741=C0026769->C0751873->C0751871->C0027765->C0012674->*C1256741*<-C0033975<-C0525046<-C0004936<-C1256749
C0030920	C0027092	0.262884	0.472493	0.335332	0.398633	0.142857	0.047548	0.500000	C0012674	C0012674	C0012674	C0012674=C0030920->C0017178->C0012242->*C0012674*<-C0027092<-C0034951<-C0015397
C0009376	C0003483	0.017066	0.326379	0.228468	0.056624	0.083333	0.029137	0.266667	C1256741	C1256741	C1256741	C1256741=C0009376->C0021846->C0032584->C0752135->C0039058->C0012674->*C1256741*<-C0003483<-C0003842<-C0005847<-C0007226<-C0002807
C0042345	C0022742	0.016075	0.375804	0.226967	0.056247	0.100000	0.028937	0.307692	C1256741	C1256741	C1256741	C1256741=C0042345->C0042373->C0007222->C0012674->*C1256741*<-C0022742<-C0023216<-C0015385<-C0005898<-C0002807
C0043352	C0023891	0.231910	0.404365	0.311098	0.371110	0.111111	0.042550	0.428571	C0012674	C0012674	C0012674	C0012674=C0043352->C0036093->C0026636->C0038368->*C0012674*<-C0023891<-C0023890<-C0023895<-C0012242
